Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind zeigt Interesse an sozialen Berufen (z.B. Arzt, Feuerwehr, Polizei).;Ethik und Gesellschaft;Gesellschaft;Rollenverständnis, Berufswahl;Entwicklung von Rollenverständnis und Berufswahl.;5+ Jahre;Besuch von Feuerwehr oder Polizei, Rollenspiele „Ich bin Arzt“, „Berufswelt entdecken“-Projekt.
Das Kind fragt nach dem Unterschied zwischen Arm und Reich.;Ethik und Gesellschaft;Gesellschaft;Soziale Gerechtigkeit, Solidarität;Entwicklung von Bewusstsein für soziale Gerechtigkeit und Solidarität.;6+ Jahre;„Teilen macht Spaß“-Aktion, Spendenprojekt für Kinder in Not, Geschichte „Das geteilte Brot“.
Das Kind zeigt Interesse an Umweltschutz und Nachhaltigkeit.;Ethik und Gesellschaft;Gesellschaft;Verantwortung, Nachhaltigkeit;Entwicklung von Verantwortung für die Umwelt und Nachhaltigkeit.;6+ Jahre;Müllsammelaktion, eigenes Gemüsebeet anlegen, Upcycling-Bastelwerkstatt.
Das Kind fragt nach dem Sinn von Regeln und Gesetzen.;Ethik und Gesellschaft;Gesellschaft;Rechtsbewusstsein, Demokratie;Entwicklung von Rechtsbewusstsein und Demokratie.;6+ Jahre;Besuch im Rathaus, „Was wäre, wenn es keine Regeln gäbe?“-Diskussion, Gruppenabstimmungen.
Das Kind zeigt Interesse an politischen Themen (z.B. Wahlen, Politik).;Ethik und Gesellschaft;Gesellschaft;Politische Bildung, Partizipation;Entwicklung von politischer Bildung und Partizipation.;6+ Jahre;Mini-Wahl durchführen, Nachrichten für Kinder anschauen, Rollenspiel „Bürgermeister für einen Tag“.
Das Kind fragt nach dem Sinn von Kriegen und Konflikten.;Ethik und Gesellschaft;Ethik;Frieden, Konfliktlösung;Entwicklung von Bewusstsein für Frieden und Konfliktlösung.;6+ Jahre;Friedenssymbole malen, Friedenslieder singen, Geschichte „Der kleine Frieden“.
Das Kind zeigt Interesse an Menschen mit Behinderung.;Ethik und Gesellschaft;Gesellschaft;Inklusion, Vielfalt;Förderung von Inklusion und Vielfalt.;5+ Jahre;Rollstuhlparcours, Besuch einer inklusiven Einrichtung, Geschichten über Menschen mit Behinderung.
Das Kind fragt nach dem Sinn von Religionen und Glaubensrichtungen.;Ethik und Gesellschaft;Gesellschaft;Interkulturalität, Toleranz;Entwicklung von interkultureller Kompetenz und Toleranz.;6+ Jahre;Kirchen, Moscheen oder Tempel besuchen, „Welche Feste feiern andere?“-Projekt, Gesprächsrunde mit verschiedenen Glaubensvertretern.
Das Kind zeigt Interesse an Tierschutz und Tierwohl.;Ethik und Gesellschaft;Ethik;Verantwortung, Mitgefühl;Entwicklung von Verantwortung für Tiere und Mitgefühl.;5+ Jahre;Tierheim besuchen, Tierpflege lernen, Geschichten über Tiere in Not.
Das Kind fragt nach dem Sinn von Armut und Ungleichheit.;Ethik und Gesellschaft;Gesellschaft;Soziale Gerechtigkeit, Solidarität;Entwicklung von Bewusstsein für soziale Gerechtigkeit und Solidarität.;6+ Jahre;Spendenaktion organisieren, Geschichte „Ein kleiner großer Unterschied“, Diskussion über Fairness.
Das Kind zeigt Interesse an der Geschichte seiner Familie und seiner Heimat.;Ethik und Gesellschaft;Gesellschaft;Identität, Traditionen;Entwicklung von Identität und Bewusstsein für Traditionen.;5+ Jahre;Stammbaum gestalten, alte Fotos anschauen, „Woher komme ich?“ Gesprächsrunde.
Das Kind fragt, warum manche Menschen kein Zuhause haben.;Ethik und Gesellschaft;Gesellschaft;Soziale Gerechtigkeit, Armut;Entwicklung eines Verständnisses für soziale Unterschiede.;5+ Jahre;Geschichte „Wo wohnt der kleine Bär?“, Gespräch mit Sozialarbeiter:innen, Spendenprojekt für Obdachlose.
Das Kind hinterfragt, warum Jungen und Mädchen manchmal unterschiedlich behandelt werden.;Ethik und Gesellschaft;Gesellschaft;Gleichberechtigung, Diversität;Förderung eines Bewusstseins für Gleichberechtigung.;6+ Jahre;Geschichte „Lena spielt Fußball“, Diskussion über Berufe und Rollenbilder, Rollenspiele mit vertauschten Rollen.
Das Kind zeigt Interesse an Gerechtigkeit und fragt, warum manche Kinder bevorzugt werden.;Ethik und Gesellschaft;Ethik;Fairness, Gerechtigkeit;Entwicklung eines Verständnisses für soziale Fairness.;5+ Jahre;„Was ist gerecht?“ – Spiele mit ungleichen Regeln, Geschichten über Gerechtigkeit, Gruppenentscheidungen.
Das Kind räumt nicht nur seinen eigenen, sondern auch fremden Müll auf.;Ethik und Gesellschaft;Gesellschaft;Verantwortung, Umweltbewusstsein;Förderung eines Verantwortungsgefühls für die Gemeinschaft.;4+ Jahre;Müllsammel-Spaziergang, „Wir hinterlassen keinen Müll“-Spiel, Upcycling-Bastelaktion.
Das Kind äußert sich respektvoll gegenüber Erwachsenen und anderen Kindern.;Ethik und Gesellschaft;Ethik;Respekt, Höflichkeit;Entwicklung eines respektvollen Umgangs.;4+ Jahre;„Zauberwörter“-Spiel, Rollenspiele zu höflichem Verhalten, „Wie kann man Respekt zeigen?“-Diskussion.
Das Kind interessiert sich für Sprachen anderer Kinder.;Ethik und Gesellschaft;Gesellschaft;Mehrsprachigkeit, kulturelle Vielfalt;Förderung eines interkulturellen Verständnisses.;5+ Jahre;„Wie sagst du…?“-Sprachspiel, Begrüßungswörter in anderen Sprachen lernen, internationale Märchenstunde.
Das Kind interessiert sich für Themen wie Gleichheit und Ungerechtigkeit.;Ethik und Gesellschaft;Ethik;Moralisches Bewusstsein, Fairness;Entwicklung eines Verständnisses für Ethik und soziale Werte.;6+ Jahre;Geschichte „Das unfaire Spiel“, Rollenspiele zu unfairen Situationen, Gesprächsrunde über Fairness.
Das Kind erzählt begeistert von einer Hilfsaktion, die es gesehen hat.;Ethik und Gesellschaft;Gesellschaft;Solidarität, Gemeinschaftsgefühl;Förderung von sozialem Engagement.;5+ Jahre;Besuch bei einer Hilfsorganisation, Spendenprojekt organisieren, gemeinsames Helfen für andere.
Das Kind stellt Fragen zur Rolle von Erwachsenen in der Gesellschaft.;Ethik und Gesellschaft;Gesellschaft;Rollenverständnis, soziale Strukturen;Entwicklung eines Verständnisses für gesellschaftliche Aufgaben.;5+ Jahre;Berufe-Ratespiel, Gespräch mit einem Elternteil über seinen Beruf, Rollenspiel „Was macht eine Bürgermeisterin?“.
Das Kind fragt, warum beim Mittagessen nicht zuerst gebetet wird, wie zu Hause.;Ethik und Gesellschaft;Ethik;Religiöse Vielfalt, Toleranz;Das Kind lernt, dass unterschiedliche religiöse Bräuche im öffentlichen Raum verschieden gelebt werden.;4+ Jahre;"Morgenkreis zu religiösen Ritualen in Familien, gemeinsames Gestalten eines ""Vielfaltsbuches"""
Das Kind möchte nicht mit dem anderen Geschlecht in einer Gruppe spielen.;Ethik und Gesellschaft;Gesellschaft;Geschlechterrollen, Zugehörigkeit;Das Kind reflektiert traditionelle Geschlechterrollen und erweitert seine Sozialkompetenz.;5+ Jahre;Rollenspiele mit wechselnden Rollen, Vorlesegeschichten über vielfältige Familienbilder
Das Kind bringt selbstgebackenes Fladenbrot zum Teilen mit, weil zu Hause ein Feiertag gefeiert wird.;Ethik und Gesellschaft;Gesellschaft;Kultur & Traditionen;Das Kind lernt, eigene kulturelle Elemente wertzuschätzen und zu teilen.;4+ Jahre;Gemeinsames Kochen mit Rezepten aus verschiedenen Herkunftsländern, Familiengeschichtenrunde
Das Kind korrigiert andere Kinder, wenn sie den Ramadan nicht kennen.;Ethik und Gesellschaft;Ethik;Respekt & Wissen über Religionen;Das Kind entwickelt Stolz auf die eigene Herkunft und sensibilisiert andere für kulturelle Vielfalt.;5+ Jahre;Ramadan-Vorstellung mit Eltern, Fastenbrechen in der Kita symbolisch erklären
Das Kind sagt, dass in seiner Familie nur Erwachsene wichtige Entscheidungen treffen dürfen.;Ethik und Gesellschaft;Gesellschaft;Macht & Mitbestimmung;Das Kind lernt demokratische Prinzipien kennen und erlebt, dass auch Kinder mitentscheiden können.;4+ Jahre;Kinderkonferenz, Entscheidungsrunden mit Stimmkarten, Bilderbuch „Heute bestimme ich“
Das Kind äußert, dass es keine kurzen Hosen anziehen darf.;Ethik und Gesellschaft;Gesellschaft;Geschlechterrollen, Religion;Das Kind lernt den Umgang mit kulturellen Unterschieden in Kleidungsvorschriften.;5+ Jahre;Verkleidungskiste mit verschiedenen traditionellen Kleidungsstücken, Gesprächsrunden über Kleidung weltweit
Das Kind bringt einen Gebetsteppich mit und erklärt, wozu er gebraucht wird.;Ethik und Gesellschaft;Ethik;Religionspraxis, kulturelle Ausdrucksformen;Das Kind erfährt Wertschätzung für seine religiöse Identität.;4+ Jahre;Zeig mir deine Welt-Tag, Gebetsräume verschiedener Religionen zeigen (z.?B. Moschee-Ausflug)
Das Kind will bestimmte Lieder nicht singen, da sie nicht zu seinem Glauben passen.;Ethik und Gesellschaft;Ethik;Respekt vor Unterschieden;Das Kind lernt, dass es eigene Werte vertreten darf, ohne ausgegrenzt zu werden.;4+ Jahre;Liederauswahl im Morgenkreis besprechen, alternative Beiträge vorschlagen
Das Kind erzählt, dass seine Schwester zu Hause nicht aufräumen muss, weil sie ein Mädchen ist.;Ethik und Gesellschaft;Gesellschaft;Rollenverständnis, Gleichheit;Das Kind reflektiert über Gerechtigkeit und Gleichberechtigung.;5+ Jahre;Partnerarbeit: Jeder hilft jedem, Geschichten mit Rollenwechsel lesen („Julian ist eine Meerjungfrau“)
Das Kind bringt eine traditionelle Süßspeise mit und möchte erklären, was sie bedeutet.;Ethik und Gesellschaft;Gesellschaft;Feste, Rituale;Das Kind stärkt sein Selbstwertgefühl durch Anerkennung seiner Herkunft.;4+ Jahre;Multikulturelle Frühstücksaktion, Essenskultur-Projekttage
Das Kind fragt, warum es keine getrennten Toiletten gibt.;Ethik und Gesellschaft;Gesellschaft;Geschlecht, Hygiene;Das Kind lernt altersgemäß über Gleichberechtigung und Privatsphäre.;4+ Jahre;Hygieneworkshops, Gesprächskreis über Körper und Grenzen
Das Kind erzählt, dass bei ihm zu Hause die Mutter nicht arbeitet.;Ethik und Gesellschaft;Gesellschaft;Rollenverständnis, Familie;Das Kind lernt unterschiedliche Lebensrealitäten kennen.;4+ Jahre;Gesprächsrunde: „Was machen deine Eltern?“, Rollenspiele zu Berufen
Das Kind freut sich, dass alle im Gebetsraum leise waren.;Ethik und Gesellschaft;Ethik;Rücksichtnahme;Das Kind erfährt Wertschätzung für religiöse Bedürfnisse.;5+ Jahre;Tempel- oder Moscheebesuch, Stilleübung im Wald, Achtsamkeitsspiele
Das Kind will nicht mit dem anderen Geschlecht tanzen.;Ethik und Gesellschaft;Gesellschaft;Rollenverständnis, Nähe;Das Kind reflektiert persönliche Grenzen und lernt Umgang mit sozialen Erwartungen.;4+ Jahre;Tänze in Kleingruppen, Einzelaktionen mit Respektübungen, Körperspiele mit Stopp-Zeichen
Das Kind erzählt, dass es zu Hause nur halal isst.;Ethik und Gesellschaft;Ethik;Religion & Ernährung;Das Kind lernt über Esskulturen und Respekt gegenüber anderen Gewohnheiten.;4+ Jahre;Kita-Kochbuch mit Rezepten aller Familien, Besuch auf einem Markt mit Essensvielfalt
Das Kind verweigert das Basteln einer Figur, die seiner Religion widerspricht.;Ethik und Gesellschaft;Ethik;Religiöse Freiheit;Das Kind erfährt Akzeptanz für seine Grenzen und darf Alternativen nutzen.;5+ Jahre;Bastelalternativen anbieten, Eltern einladen, um religiöse Perspektiven zu erläutern
Das Kind freut sich auf ein christliches Fest und erklärt es den anderen.;Ethik und Gesellschaft;Ethik;Interreligiöses Lernen;Das Kind lernt, sich und andere religiöse Feste zu respektieren.;5+ Jahre;Feste-Kalender im Gruppenraum, Eltern berichten über ihre Feste
Das Kind äußert Verwunderung, warum die Erzieherin alleine lebt.;Ethik und Gesellschaft;Gesellschaft;Familienbilder;Das Kind lernt verschiedene Familienformen kennen und tolerieren.;4+ Jahre;Bilderbücher über Patchwork-, Regenbogen- und Alleinerziehendenfamilien
Das Kind ärgert sich, dass ein anderes Kind „seinen“ Platz im Kreis hat.;Ethik und Gesellschaft;Ethik;Fairness & Teilhabe;Das Kind lernt, mit Regeln und Veränderungen umzugehen.;4+ Jahre;Kreisplätze rotieren lassen, „Wunschplätze“ regelmäßig vergeben
Das Kind fragt, warum in der Kita Weihnachten gefeiert wird, obwohl nicht alle daran glauben.;Ethik und Gesellschaft;Ethik;Weltanschauungen;Das Kind reflektiert gesellschaftliche Mehrheitskulturen.;5+ Jahre;Gespräch über kulturelle Mehrheiten & Minderheiten, Geschichten aus verschiedenen Kulturen
"Das Kind sagt: ""Meine Religion ist besser als deine!""";Ethik und Gesellschaft;Ethik;Respekt, Empathie;Das Kind lernt, religiöse Vielfalt wertzuschätzen.;5+ Jahre;Religionen-Projektwoche, Theaterstück über Toleranz
Das Kind betont, dass es später ein „Mann wie Papa“ sein will und keine „Mädchenarbeit“ macht.;Ethik und Gesellschaft;Gesellschaft;Geschlechterbilder;Das Kind setzt sich mit gesellschaftlichen Erwartungen auseinander.;5+ Jahre;Geschlechtertausch bei Tätigkeiten, Bücher über starke Mädchen und sensible Jungs
Das Kind besteht darauf, beim Essen die Hände zu waschen, wie es die Eltern lehren.;Ethik und Gesellschaft;Ethik;Hygiene & Werte;Das Kind erlebt, dass häusliche Werte auch in der Kita Platz finden dürfen.;4+ Jahre;Hygiene-Projekt mit Seifenherstellung, Vergleich von Ritualen
Das Kind lehnt ein Geburtstagslied ab, da seine Familie keine Geburtstage feiert.;Ethik und Gesellschaft;Ethik;Weltanschauung & Bräuche;Das Kind lernt, dass man eigene Grenzen mitteilen darf.;5+ Jahre;Alternative Rituale entwickeln, Kind entscheidet über Beteiligung
Das Kind fragt, warum manche Kinder zwei Mamas haben.;Ethik und Gesellschaft;Gesellschaft;Familienformen;Das Kind lernt, dass es viele Arten von Familie gibt.;4+ Jahre;Geschichten über Regenbogenfamilien, Fotowand „Meine Familie“
Das Kind ist stolz darauf, beim Freitagsgebet helfen zu dürfen.;Ethik und Gesellschaft;Ethik;Verantwortung, Religion;Das Kind erkennt religiöse Praxis als Teil der Selbstwirksamkeit.;5+ Jahre;Kinder berichten von ihren Rollen im religiösen Alltag
Das Kind fragt, warum es kein Schweinefleisch gibt, obwohl es das gern isst.;Ethik und Gesellschaft;Ethik;Rücksichtnahme, Ernährung;Das Kind lernt, warum Rücksichtnahme manchmal Vorrang hat.;5+ Jahre;Ernährung & Respekt in Gruppen besprechen, Essensplan mit Symbolen gestalten
Das Kind verteidigt ein anderes Kind, das ausgelacht wird, weil es ein Kopftuch trägt.;Ethik und Gesellschaft;Ethik;Empathie & Zivilcourage;Das Kind entwickelt ein Gespür für Ungerechtigkeit und Solidarität.;5+ Jahre;Rollenspiele zu Diskriminierung, Kinderrechte-Thementage
Das Kind fragt, warum ein anderes Kind anders aussieht;Ethik und Gesellschaft;Ethik;Toleranz, Vielfalt;Das Kind lernt, Unterschiede zwischen Menschen wertzuschätzen und respektvoll damit umzugehen;4+ Jahre;Bilderbuchbetrachtung zu Vielfalt Projekttag zu Kulturen Memory mit Vielfaltsthemen
Das Kind bringt ein Foto der Familie mit und erzählt darüber;Ethik und Gesellschaft;Gesellschaft;Familienbewusstsein, Identität;Das Kind reflektiert über seine Familienstruktur und erkennt Unterschiede;4+ Jahre;Familiengalerie gestalten Familienbuch anlegen Erzählkreis zur Herkunft
Das Kind malt seine Wohnung und vergleicht sie mit anderen;Ethik und Gesellschaft;Gesellschaft;Soziale Umwelt, Unterschiede;Das Kind erkennt strukturelle Unterschiede im Wohnumfeld und äußert Empathie;4+ Jahre;Stadtteil erkunden Wohnungsmodelle bauen Gespräch mit Architekten
Das Kind fragt, was Demokratie bedeutet;Ethik und Gesellschaft;Gesellschaft;Demokratisches Verständnis;Das Kind versteht Mitbestimmung und entwickelt ein erstes Demokratieverständnis;5+ Jahre;Kinderwahl organisieren Rollen im Morgenkreis verteilen Mini-Bürgermeister*innen-Wahl
Das Kind weist andere auf Regelverstöße hin;Ethik und Gesellschaft;Gesellschaft;Regelbewusstsein;Das Kind übernimmt Verantwortung für gemeinschaftliche Regeln;4+ Jahre;Regel-Wand gemeinsam gestalten Regel-Memory Geschichten zu Regelbrüchen
Das Kind berichtet von religiösen Festen zu Hause;Ethik und Gesellschaft;Gesellschaft;Kulturelle/religiöse Vielfalt;Das Kind reflektiert über kulturelle Prägungen und zeigt Offenheit für andere;5+ Jahre;Festekalender gemeinsam erstellen Einladung an Eltern zu Festen Symbolbetrachtung
Das Kind fragt, was „normal“ bedeutet;Ethik und Gesellschaft;Ethik;Diversity, Begriffe reflektieren;Das Kind hinterfragt gesellschaftliche Vorstellungen und erkennt Vielfalt als Bereicherung;5+ Jahre;Vielfalt-Collage Diskussionen mit Symbolkarten Was ist „normal“-Runde
Das Kind stellt viele Fragen zu Gerechtigkeit und Ungleichheit;Ethik und Gesellschaft;Ethik;Gerechtigkeit, soziale Ungleichheit;Das Kind beginnt, soziale Unterschiede wahrzunehmen und kritisch zu hinterfragen;5+ Jahre;Geschichten aus verschiedenen Perspektiven Gleichheitsspiel Gerechtigkeitswaage basteln
Das Kind sagt, es will „so sein wie Papa“;Ethik und Gesellschaft;Gesellschaft;Identitätsbildung, Rollenverständnis;Das Kind reflektiert über Vorbilder und die eigene soziale Rolle;4+ Jahre;Berufe der Eltern besprechen Collage „Wer bin ich“ Geschichten zu Rollenbildern
Das Kind erzählt, dass zu Hause Männer und Frauen andere Aufgaben haben;Ethik und Gesellschaft;Gesellschaft;Geschlechterrollen;Das Kind erkennt geschlechtsspezifische Unterschiede und reflektiert diese;5+ Jahre;Alltagsrollen-Gespräch Rollentauschspiele Geschichten zu Gleichberechtigung
Das Kind fragt, warum ein Kind im Rollstuhl sitzt;Ethik und Gesellschaft;Ethik;Vielfalt, körperliche Unterschiede;Das Kind entwickelt eine Sprache und Haltung für respektvollen Umgang mit Verschiedenheit;4+ Jahre;Rollentausch mit Rollbrett Inklusionsgeschichten Bewegungseinheit mit Einschränkungen
Das Kind will nicht mit einem Kind spielen, das „anders“ spricht;Ethik und Gesellschaft;Ethik;Vorurteile, Integration;Das Kind lernt, offen auf andere zuzugehen und Sprachbarrieren zu überwinden;4+ Jahre;Sprachspiele in verschiedenen Sprachen Besuch von Eltern mit Migrationsgeschichte Tandempartner*innen bilden
Das Kind erklärt, dass es zu Hause keine Regeln gibt;Ethik und Gesellschaft;Gesellschaft;Regelbildung, Normenvergleich;Das Kind begreift, warum Regeln sinnvoll sind, auch wenn sie unterschiedlich sind;4+ Jahre;Rollenspiel mit Chaos und Ordnung Regelkartei erstellen Vergleich Kita/Familie
Das Kind stellt fest, dass es ärmer ist als andere;Ethik und Gesellschaft;Ethik;soziale Ungleichheit, Empathie;Das Kind lernt, mit unterschiedlichen Lebensverhältnissen umzugehen;5+ Jahre;Projekt „Was ist reich?“ Besuche bei Tafel oder Sozialladen Bilderbuch zur Armut
Das Kind fragt, warum es eine Mülltrennung gibt;Ethik und Gesellschaft;Ethik;Verantwortung für Umwelt;Das Kind versteht ökologische Zusammenhänge und übernimmt Verantwortung;4+ Jahre;Müllsammelaktion Besuch Recyclinghof Basteln mit Abfall
Das Kind fragt nach, warum manche Menschen Kopftücher tragen.;Ethik und Gesellschaft; Ethik; Religion, kulturelle Vielfalt; Das Kind zeigt Interesse an religiösen und kulturellen Ausdrucksformen.; 4+ Jahre; Kleidung aus aller Welt vorstellen, Gespräch über religiöse Symbole, Eltern einladen.
Das Kind fragt nach, warum Müll getrennt wird.;Ethik und Gesellschaft; Gesellschaft; Umweltbewusstsein, Nachhaltigkeit; Das Kind entwickelt ein Verantwortungsgefühl für die Umwelt.; 4+ Jahre; Mülltrennung im Gruppenraum, Naturtage, Upcycling-Projekte.
Das Kind interessiert sich für die Herkunft eines Musikinstruments aus einem anderen Land.;Ethik und Gesellschaft; Ethik; Kulturelle Ausdrucksformen, Musik; Das Kind erweitert seinen Horizont für kulturelle Vielfalt.; 4+ Jahre; Musikinstrumente aus aller Welt vorstellen, Klanggeschichten, Musik-Workshops.
Das Kind fragt, warum manche Kinder nicht in die Kita kommen können.;Ethik und Gesellschaft; Gesellschaft; Teilhabe, soziale Gerechtigkeit; Das Kind reflektiert soziale Unterschiede im Alltag.; 5+ Jahre; Gesprächsrunden, Geschichten zu Chancen(un)gleichheit, Rollenspiele.
Das Kind erzählt, dass in seiner Familie verschiedene Sprachen gesprochen werden.;Ethik und Gesellschaft; Ethik; Mehrsprachigkeit, Identität; Das Kind erkennt sprachliche Vielfalt als Teil seiner Identität.; 3+ Jahre; Sprachposter, Mehrsprachige Bücher, Erzählkreise mit Herkunftssprachen.
Das Kind bringt ein religiöses Symbol mit und erklärt dessen Bedeutung.;Ethik und Gesellschaft; Ethik; Religion, Ausdrucksformen; Das Kind teilt seine Glaubenswelt mit der Gruppe und stärkt seine Identität.; 4+ Jahre; Religionskisten, Symboltafeln, interreligiöse Gespräche.
Das Kind fragt, ob auch zwei Mamas oder Papas eine Familie sein können.;Ethik und Gesellschaft; Ethik; Familienformen, Toleranz; Das Kind erweitert sein Verständnis von Familienvielfalt.; 5+ Jahre; Bücher zu verschiedenen Familienmodellen, Familienbilder malen, Gesprächskreise.
Das Kind bemerkt, dass ein Tier Hilfe braucht, und schlägt vor, etwas zu tun.;Ethik und Gesellschaft; Ethik; Tierethik, Mitgefühl; Das Kind zeigt Verantwortungsgefühl gegenüber Lebewesen.; 4+ Jahre; Tierpatenschaften, Tiergeschichten, Besuche im Tierheim.
Das Kind macht sich Gedanken über Menschen ohne Zuhause.;Ethik und Gesellschaft; Gesellschaft; Armut, Mitgefühl; Das Kind setzt sich mit sozialen Ungleichheiten auseinander.; 5+ Jahre;" Geschichten über Obdachlosigkeit, Spendenaktionen, Projekte über ""Helfen""."
Das Kind fragt, ob ein Mädchen Feuerwehrfrau werden kann.;Ethik und Gesellschaft; Gesellschaft; Gleichstellung, Rollenvorbilder; Das Kind hinterfragt stereotype Geschlechterrollen.; 4+ Jahre; Bücher über Berufe, Rollenspiele mit Uniformen, Berufsbilder im Morgenkreis.
Das Kind zeigt Interesse an der Sprache der Gebärden.;Ethik und Gesellschaft; Gesellschaft; Inklusion, Kommunikation; Das Kind erweitert seine Kommunikationsmöglichkeiten und zeigt Offenheit.; 4+ Jahre; Gebärdenlieder, Piktogramme, Einführung in einfache Gebärden.
Das Kind erzählt, dass in seiner Kultur Großeltern eine wichtige Rolle spielen.;Ethik und Gesellschaft; Ethik; Familienkultur, Wertschätzung; Das Kind erkennt den Stellenwert älterer Generationen.; 4+ Jahre; Omatag, Interviews mit Großeltern, Geschichten aus der Familie erzählen.
Das Kind bemerkt, dass in einer Geschichte nur weiße Kinder vorkommen.;Ethik und Gesellschaft; Gesellschaft; Diversität, Repräsentation; Das Kind reflektiert Darstellung von Vielfalt in Medien.; 5+ Jahre; Bücheranalyse, eigene Geschichten gestalten, Bilderbuchkritik.
Das Kind fragt nach dem Unterschied zwischen Kirche, Moschee und Synagoge.;Ethik und Gesellschaft; Ethik; Religionen verstehen; Das Kind zeigt Interesse an verschiedenen Glaubensrichtungen.; 5+ Jahre; Interaktive Karten religiöser Orte, Besuch religiöser Einrichtungen, Symbole vergleichen.
Das Kind interessiert sich für die Lebensweise indigener Völker.;Ethik und Gesellschaft; Gesellschaft; Globales Lernen, Respekt; Das Kind entwickelt Neugier für andere Kulturen und Lebensweisen.; 5+ Jahre; Projektwochen, Geschichten indigener Kinder, Bilder aus anderen Kulturen.
Das Kind erklärt, warum Müll nicht in die Natur gehört.;Ethik und Gesellschaft; Gesellschaft; Umweltbewusstsein, Nachhaltigkeit; Das Kind entwickelt Verantwortungsgefühl für den Planeten.; 4+ Jahre; Müllsammelaktion, Naturtagebuch, Experimente mit Recycling.
Das Kind fragt, warum manche Kinder Angst vor Polizei haben.;Ethik und Gesellschaft; Gesellschaft; Machtverhältnisse, Vertrauen; Das Kind reflektiert gesellschaftliche Strukturen kritisch.; 5+ Jahre; Rollenspiele, Polizei-Gespräch, Geschichten über Vertrauen und Sicherheit.
Das Kind fragt, warum es Länder mit Krieg gibt.;Ethik und Gesellschaft; Ethik; Frieden, Konfliktverständnis; Das Kind beginnt, globale Zusammenhänge zu hinterfragen.; 5+ Jahre; Friedensprojekte, Geschichten zu Kriegsflüchtlingen, Weltkartenarbeit.
Das Kind freut sich, als in einem Buch eine Familie mit zwei Mamas gezeigt wird.;Ethik und Gesellschaft; Ethik; Familienformen, Repräsentation; Das Kind erkennt sich oder andere in vielfältigen Familienmodellen wieder und erlebt Zugehörigkeit.; 4+ Jahre; Vielfältige Bücher nutzen, Familiencollagen gestalten, Gespräch über unterschiedliche Familienmodelle.
