Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind zeigt Interesse an der Funktionsweise von optischen Geräten und fragt nach deren Linsen.;Natur und Technik;Technik;Optik;Förderung des Verständnisses für optische Zusammenhänge;6+ Jahre;"Ferngläser bauen, Mikroskope nutzen, Experimente mit Lichtbrechung, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind beobachtet fasziniert die Bewegung von Tieren im Wasser und fragt nach deren Anpassungen.;Natur und Technik;Natur;Zoologie (Wasserlebewesen);Förderung des Interesses an Wasserlebewesen;6+ Jahre;"Besuch im Aquarium, Beobachtung von Wasserlebewesen im Teich, Modelle von Fischen und anderen Wasserlebewesen bauen, Lied: ""Eins zwei drei im Sauseschritt"", Aus"
Das Kind sammelt verschiedene Blätter und vergleicht ihre Farben und Formen.;Natur und Technik;Natur;Botanik;Erkennen und Unterscheiden verschiedener Pflanzenarten anhand ihrer Merkmale.;3+ Jahre;Blätterpuzzle, Blätterdruck mit Wasserfarben, Spaziergang im Park mit Bestimmungsbuch, Herbarium anlegen, Blätter pressen und laminieren.
Das Kind beobachtet, wie Regenwasser in eine Pfütze läuft und sich verteilt.;Natur und Technik;Natur;Physik;Erste Erfahrungen mit dem Verhalten von Wasser sammeln.;3+ Jahre;Wasserbahn mit Rinnen und Schüsseln bauen, Experiment: Was schwimmt, was sinkt?, Gummistiefel-Spaziergang nach Regen, Wasserlauf im Sandkasten bauen, Wasserrad basteln.
Das Kind baut einen hohen Turm aus Bauklötzen und testet, wie stabil er ist.;Natur und Technik;Technik;Statik;Erstes Verständnis von Stabilität und Gleichgewicht entwickeln.;4+ Jahre;Turmwettbewerb: Wer baut den höchsten Turm?, Experimentieren mit verschiedenen Bauklötzen und Materialien, Bilderbücher zum Thema Brücken und Türme anschauen, Bauen mit Naturmaterialien (Steine, Äste), Konstruktionsspiele mit Magneten.
Das Kind hört aufmerksam den Vogelstimmen im Garten zu und versucht, sie nachzuahmen.;Natur und Technik;Natur;Zoologie;Vögel an ihrem Gesang erkennen und Unterschiede wahrnehmen.;3+ Jahre;Vogelstimmen-Ratespiel, Ausflug mit Fernglas in den Wald, Bau eines einfachen Vogelhauses, Futterstelle bauen und beobachten, Vogelstimmen-App nutzen.
Das Kind betrachtet einen Regenbogen und fragt, wie er entsteht.;Natur und Technik;Natur;Optik;Grundlagen der Lichtbrechung und Farben kennenlernen.;4+ Jahre;"Experiment: Licht durch ein Prisma brechen lassen, Regenbogenbilder malen, Lied ""Ich male mir die Welt bunt"" singen, Seifenblasen machen und beobachten, CD als Regenbogenmacher nutzen."
Das Kind fragt, warum ein Luftballon nach oben steigt.;Natur und Technik;Technik;Aerodynamik;Erste Erkenntnisse über Luft und Auftrieb gewinnen.;4+ Jahre;Experiment: Luftballons mit unterschiedlichen Gasen füllen, kleine Fallschirme basteln und testen, Buch über Flugzeuge anschauen, Windspiele basteln, Papierflieger bauen und testen.
Das Kind rollt verschiedene Gegenstände eine Rampe herunter und beobachtet, wie schnell sie sind.;Natur und Technik;Technik;Mechanik;Erkennen, wie Form und Gewicht die Geschwindigkeit beeinflussen.;3+ Jahre;Murmelbahn bauen, Autorennen mit Rampen veranstalten, Videos zu Kugelbahnen anschauen, Experimente mit verschiedenen Untergründen (glatt, rau), Fahrzeuge mit verschiedenen Antriebsarten testen.
Das Kind mischt Wasser mit Lebensmittelfarben und beobachtet die Veränderungen.;Natur und Technik;Technik;Chemie;Erste Erfahrungen mit chemischen Prozessen sammeln.;4+ Jahre;Farbexperimente mit Lebensmittelfarben, Experimente mit Backpulver und Essig, Seifenblasenlösung selber machen, Kristalle züchten.
Das Kind beobachtet, wie sich Eis in Wasser verwandelt und umgekehrt.;Natur und Technik;Natur;Physik;Den Kreislauf des Wassers und Aggregatzustände verstehen lernen.;4+ Jahre;Eiswürfel in der Sonne schmelzen lassen, Wasser einfrieren, Experimente mit Nebel (heißes Wasser und Eis), Bilderbuch zum Wasserkreislauf anschauen.
Das Kind baut mit verschiedenen Materialien ein Floß und testet, ob es schwimmt.;Natur und Technik;Technik;Schiffbau;Grundlagen von Auftrieb und Schwimmfähigkeit kennenlernen.;5+ Jahre;Floßbauwettbewerb, Experimente mit verschiedenen Materialien (Holz, Plastik, Papier), Modelle von Schiffen bauen.
Das Kind erforscht mit einer Lupe kleine Insekten und Spinnentiere.;Natur und Technik;Natur;Zoologie;Die Vielfalt des Lebens im Kleinen entdecken.;3+ Jahre;Insektenhotel bauen, Spinnennetz beobachten, Käfer und Schnecken sammeln und beobachten, Mikroskop nutzen.
Das Kind beobachtet den Mond und die Sterne in der Nacht.;Natur und Technik;Natur;Astronomie;Erste Eindrücke von der Weite des Weltraums gewinnen.;5+ Jahre;Sternbilder beobachten, Teleskop nutzen, Besuch im Planetarium, Bilderbücher über Planeten anschauen.
Das Kind baut eine einfache Wetterstation und beobachtet das Wetter.;Natur und Technik;Natur;Meteorologie;Wetterphänomene kennenlernen und dokumentieren.;5+ Jahre;Regenmesser, Windrad und Thermometer aufstellen, Wettertagebuch führen, Wolkenbilder malen.
Das Kind konstruiert ein einfaches Fahrzeug mit Gummibandantrieb.;Natur und Technik;Technik;Mechanik;Grundlagen der Kraftübertragung verstehen.;4+ Jahre;Fahrzeug mit Gummibandantrieb bauen, Experimente mit verschiedenen Antriebsarten (Räder, Propeller), Spielzeugautos auseinandernehmen und untersuchen.
Das Kind beobachtet, wie sich Pflanzen im Laufe der Jahreszeiten verändern.;Natur und Technik;Natur;Botanik;Den Kreislauf der Natur und das Wachstum von Pflanzen verstehen.;4+ Jahre;Pflanzenkalender führen, Pflanzen in verschiedenen Wachstumsstadien beobachten, Samen säen und pflegen.
Das Kind experimentiert mit Magneten und beobachtet, welche Gegenstände angezogen werden.;Natur und Technik;Technik;Magnetismus;Grundlagen des Magnetismus kennenlernen.;4+ Jahre;Magnetspiel mit verschiedenen Gegenständen, Magnetfischen, Magnetbilder gestalten.
Das Kind baut ein einfaches Haus aus Karton und testet verschiedene Baumaterialien.;Natur und Technik;Technik;Architektur;Grundlagen des Hausbaus und der Materialkunde verstehen.;5+ Jahre;Hausbauwettbewerb, Modelle von Häusern aus verschiedenen Materialien bauen, Bilderbücher über verschiedene Wohnformen anschauen.
Das Kind beobachtet, wie sich Tiere an ihre Umgebung anpassen.;Natur und Technik;Natur;Ökologie;Die Bedeutung von Lebensräumen und Anpassungen verstehen.;5+ Jahre;Besuch im Zoo oder Tierpark, Beobachtung von Tieren in ihrem natürlichen Lebensraum, Modelle von Tieren und ihren Lebensräumen bauen.
Das Kind experimentiert mit verschiedenen Lichtquellen und Schatten.;Natur und Technik;Technik;Optik;Grundlagen der Lichtausbreitung und Schattenbildung verstehen.;4+ Jahre;Schattenspiele mit Händen und Gegenständen, Taschenlampenexperimente, Theater mit Schattenspielfiguren.
Das Kind baut eine einfache Brücke aus Holzklötzen und testet ihre Tragfähigkeit.;Natur und Technik;Technik;Statik;Grundlagen der Statik und des Brückenbaus verstehen.;5+ Jahre;Brückenbauwettbewerb, Experimente mit verschiedenen Brückenformen, Bilderbücher über berühmte Brücken anschauen.
Das Kind beobachtet, wie sich Raupen in Schmetterlinge verwandeln.;Natur und Technik;Natur;Zoologie;Die Metamorphose und den Lebenszyklus von Insekten verstehen.;5+ Jahre;Raupenzucht im Glas, Beobachtung der Verpuppung und des Schlüpfens, Schmetterlingsbilder malen.
Das Kind experimentiert mit verschiedenen Klängen und Tönen.;Natur und Technik;Technik;Akustik;Grundlagen der Klangerzeugung und -übertragung verstehen.;4+ Jahre;Musikinstrumente selber bauen (Trommeln, Rasseln), Experimente mit verschiedenen Materialien (Holz, Metall, Glas), Klanggeschichten erfinden.
Das Kind baut ein einfaches Modell eines Vulkans und lässt ihn ausbrechen.;Natur und Technik;Natur;Geologie;Vulkane und ihre Entstehung kennenlernen.;5+ Jahre;Vulkanmodell mit Backpulver und Essig bauen, Bilderbücher über Vulkane anschauen, Experimente mit Lava (geschmolzene Schokolade).
Das Kind experimentiert mit verschiedenen Stoffen und beobachtet, wie sie sich verändern.;Natur und Technik;Technik;Chemie;Grundlagen der Stoffumwandlung verstehen.;5+ Jahre;Experimente mit Lebensmittelfarben und Säuren/Basen, Seifenblasenlösung selber machen, Experimente mit verschiedenen Flüssigkeiten (Öl, Wasser, Sirup).
Das Kind beobachtet, wie sich Pflanzen an verschiedene Standorte anpassen.;Natur und Technik;Natur;Botanik;Die Bedeutung von Lebensräumen und Anpassungen verstehen.;5+ Jahre;Pflanzen in verschiedenen Umgebungen beobachten (Sonne, Schatten, Wasser), Pflanzen aus verschiedenen Klimazonen vergleichen, Bilderbücher über Pflanzenwelten anschauen.
Das Kind beobachtet fasziniert Ameisen beim Bau ihres Hügels.;Natur und Technik;Natur;Biologische Prozesse;Förderung des Interesses an Naturphänomenen;4+ Jahre;"Ameisenhaufen beobachten, Insektenhotel bauen, Lupe zur Beobachtung nutzen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind experimentiert mit Wasser und verschiedenen Gefäßen.;Natur und Technik;Technik;Physikalische Grundlagen;Förderung des Verständnisses für physikalische Zusammenhänge;4+ Jahre;"Wasserbahn bauen, Schwimmversuche mit verschiedenen Materialien, Experimente mit Eis und Wärme, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind baut mit Begeisterung komplizierte Konstruktionen aus Legosteinen.;Natur und Technik;Technik;Konstruktionsfähigkeiten;Förderung der räumlichen Vorstellungskraft und der Konstruktionsfähigkeiten;5+ Jahre;"Baupläne lesen und umsetzen, eigene Baupläne entwerfen, Wettbewerb ""Höchster Turm"", Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt großes Interesse an Wetterphänomenen und fragt nach deren Ursachen.;Natur und Technik;Natur;Meteorologie;Förderung des Verständnisses für Wetterzusammenhänge;5+ Jahre;"Wetterstation bauen, Regenmesser aufstellen, Wolken beobachten und benennen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind untersucht mit einer Lupe verschiedene Pflanzen und Insekten.;Natur und Technik;Natur;Biologische Vielfalt;Förderung des Interesses an der Vielfalt der Natur;4+ Jahre;"Pflanzen bestimmen, Insekten fangen und beobachten, Mikroskop nutzen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an technischen Geräten und fragt nach deren Funktionsweise.;Natur und Technik;Technik;Funktionsprinzipien;Förderung des Verständnisses für technische Zusammenhänge;5+ Jahre;"Geräte auseinandernehmen und wieder zusammensetzen, Modelle bauen, Besuch im Technikmuseum, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind experimentiert mit verschiedenen Materialien und deren Eigenschaften.;Natur und Technik;Technik;Materialkunde;Förderung des Verständnisses für Materialeigenschaften;4+ Jahre;"Experimente mit Magneten, Experimente mit Säuren und Basen, Werkstatt nutzen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an astronomischen Phänomenen und fragt nach Sternen und Planeten.;Natur und Technik;Natur;Astronomie;Förderung des Interesses an der Erforschung des Weltraums;6+ Jahre;"Sternbilder beobachten, Teleskop nutzen, Besuch im Planetarium, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind konstruiert mit Begeisterung einfache Maschinen und Fahrzeuge.;Natur und Technik;Technik;Mechanik;Förderung des Verständnisses für mechanische Zusammenhänge;5+ Jahre;"Zahnradgetriebe bauen, Flaschenzüge konstruieren, Fahrzeuge mit Gummibandantrieb bauen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an chemischen Experimenten und fragt nach deren Ergebnissen.;Natur und Technik;Technik;Chemie;Förderung des Interesses an chemischen Prozessen;6+ Jahre;"Experimente mit Lebensmittelfarben, Experimente mit Backpulver, Experimente mit pH-Wert-Indikatoren, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind beobachtet fasziniert Tiere in ihrem natürlichen Lebensraum.;Natur und Technik;Natur;Ökologie;Förderung des Interesses an ökologischen Zusammenhängen;5+ Jahre;"Exkursionen in den Wald, Besuch im Zoo, Tierfährten suchen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an geologischen Phänomenen und fragt nach Steinen und Fossilien.;Natur und Technik;Natur;Geologie;Förderung des Interesses an der Erforschung der Erde;6+ Jahre;"Steine sammeln und bestimmen, Fossilien suchen, Besuch im Naturkundemuseum, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind konstruiert mit Begeisterung einfache elektrische Schaltungen.;Natur und Technik;Technik;Elektrotechnik;Förderung des Verständnisses für elektrische Zusammenhänge;6+ Jahre;"Stromkreise mit Glühbirnen bauen, Experimente mit Magneten und Strom, Besuch im Elektrizitätswerk, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an der Funktionsweise des menschlichen Körpers und fragt nach Organen und Körperfunktionen.;Natur und Technik;Natur;Biologie (Mensch);Förderung des Verständnisses für biologische Zusammenhänge;6+ Jahre;"Modelle von Organen bauen, Besuch im Körperwelten-Museum, Experimente mit Atmung und Puls, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind experimentiert mit verschiedenen Energiequellen und deren Nutzung.;Natur und Technik;Technik;Energietechnik;Förderung des Verständnisses für Energieumwandlung;6+ Jahre;"Windräder bauen, Solarmodelle konstruieren, Experimente mit Brennstoffzellen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind beobachtet fasziniert das Wachstum von Pflanzen und fragt nach deren Bedürfnissen.;Natur und Technik;Natur;Botanik;Förderung des Interesses an Pflanzenwachstum;5+ Jahre;"Samen säen und beobachten, Pflanzen pflegen, Besuch im botanischen Garten, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind konstruiert mit Begeisterung einfache Roboter und programmiert deren Bewegungen.;Natur und Technik;Technik;Robotik;Förderung des Verständnisses für Robotik und Programmierung;6+ Jahre;"Roboter aus Bausätzen bauen, Roboter mit einfachen Programmen steuern, Wettbewerb ""Roboterparcours"", Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an der Funktionsweise von Computern und fragt nach deren Programmen.;Natur und Technik;Technik;Informatik;Förderung des Verständnisses für Informatik;6+ Jahre;"Einfache Programme schreiben, Spiele programmieren, Besuch im Computerraum, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind beobachtet fasziniert die Bewegung von Wolken und fragt nach deren Entstehung.;Natur und Technik;Natur;Meteorologie;Förderung des Interesses an Wetterphänomenen;5+ Jahre;"Wolkenbilder malen, Wolkenarten bestimmen, Experimente mit Luftströmungen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind konstruiert mit Begeisterung einfache Brücken und Gebäude.;Natur und Technik;Technik;Statik;Förderung des Verständnisses für Statik;6+ Jahre;"Brücken aus Papier bauen, Gebäude aus Holzklötzen konstruieren, Wettbewerb ""Stabilste Konstruktion"", Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an der Funktionsweise von optischen Geräten und fragt nach deren Linsen.;Natur und Technik;Technik;Optik;Förderung des Verständnisses für optische Zusammenhänge;6+ Jahre;"Ferngläser bauen, Mikroskope nutzen, Experimente mit Lichtbrechung, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind beobachtet fasziniert die Bewegung von Tieren im Wasser und fragt nach deren Anpassungen.;Natur und Technik;Natur;Zoologie (Wasserlebewesen);Förderung des Interesses an Wasserlebewesen;6+ Jahre;"Besuch im Aquarium, Beobachtung von Wasserlebewesen im Teich, Modelle von Fischen und anderen Wasserlebewesen bauen, Lied: ""Eins zwei drei im Sauseschritt"", Aus"
Das Kind beobachtet fasziniert Ameisen beim Bau ihres Hügels.;Natur und Technik;Natur;Biologische Prozesse;Förderung des Interesses an Naturphänomenen und Verständnis für Lebenszyklen;4+ Jahre;"Ameisenhaufen beobachten, Insektenhotel bauen, Lupe zur Beobachtung nutzen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind experimentiert mit Wasser und verschiedenen Gefäßen.;Natur und Technik;Technik;Physikalische Grundlagen;Förderung des Verständnisses für physikalische Zusammenhänge wie Schwerkraft und Volumen;4+ Jahre;"Wasserbahn bauen, Schwimmversuche mit verschiedenen Materialien, Experimente mit Eis und Wärme, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind baut mit Begeisterung komplizierte Konstruktionen aus Legosteinen.;Natur und Technik;Technik;Konstruktionsfähigkeiten;Förderung der räumlichen Vorstellungskraft, Feinmotorik und kreativen Problemlösung;5+ Jahre;"Baupläne lesen und umsetzen, eigene Baupläne entwerfen, Wettbewerb ""Höchster Turm"", Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt großes Interesse an Wetterphänomenen und fragt nach deren Ursachen.;Natur und Technik;Natur;Meteorologie;Förderung des Verständnisses für Wetterzusammenhänge und Klimaveränderungen;5+ Jahre;"Wetterstation bauen, Regenmesser aufstellen, Wolken beobachten und benennen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind untersucht mit einer Lupe verschiedene Pflanzen und Insekten.;Natur und Technik;Natur;Biologische Vielfalt;Förderung des Interesses an der Vielfalt der Natur und der Bedeutung von Ökosystemen;4+ Jahre;"Pflanzen bestimmen, Insekten fangen und beobachten, Mikroskop nutzen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an technischen Geräten und fragt nach deren Funktionsweise.;Natur und Technik;Technik;Funktionsprinzipien;Förderung des Verständnisses für technische Zusammenhänge und die Anwendung von Technologie im Alltag;5+ Jahre;"Geräte auseinandernehmen und wieder zusammensetzen, Modelle bauen, Besuch im Technikmuseum, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind experimentiert mit verschiedenen Materialien und deren Eigenschaften.;Natur und Technik;Technik;Materialkunde;Förderung des Verständnisses für Materialeigenschaften und die Anwendung von Materialien in verschiedenen Kontexten;4+ Jahre;"Experimente mit Magneten, Experimente mit Säuren und Basen, Werkstatt nutzen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an astronomischen Phänomenen und fragt nach Sternen und Planeten.;Natur und Technik;Natur;Astronomie;Förderung des Interesses an der Erforschung des Weltraums und der Bedeutung von Astronomie für die Wissenschaft;6+ Jahre;"Sternbilder beobachten, Teleskop nutzen, Besuch im Planetarium, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind konstruiert mit Begeisterung einfache Maschinen und Fahrzeuge.;Natur und Technik;Technik;Mechanik;Förderung des Verständnisses für mechanische Zusammenhänge und die Anwendung von Mechanik im Alltag;5+ Jahre;"Zahnradgetriebe bauen, Flaschenzüge konstruieren, Fahrzeuge mit Gummibandantrieb bauen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
