Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter;Impuls oder Aktivität
Das Kind gestaltet ein Fensterbild mit Transparentpapier.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Fenstergestaltung;Förderung der Kreativität und des Umgangs mit Licht und Farbe;4+ Jahre;Gestalten mit Transparentpapier, Fensterbilder malen, Collagen kleben, Licht- und Schattenspiele.
Das Kind spielt ein Improvisationstheater ohne Vorlage.;Ästhetik und Gestaltung;Theaterspiel;Improvisationstheater;Förderung der Spontanität und der kreativen Gestaltung;6+ Jahre;"Improvisationstheater, Rollenspiele, Szenen entwickeln, Geschichten erzählen, Kreispiel ""Ich bin in den Brunnen gefallen""."
Das Kind gestaltet ein Mosaik aus Papier oder Fliesen.;Ästhetik und Gestaltung;Kunst;Mosaikgestaltung;Förderung der Feinmotorik und des räumlichen Denkens;5+ Jahre;Mosaike kleben, Fliesen legen, Muster gestalten, Vorlagen verwenden, freies Gestalten.
Das Kind spielt ein Musikquiz und erkennt verschiedene Musikstücke.;Ästhetik und Gestaltung;Musik;Musikwissen;Förderung des musikalischen Gedächtnisses und des Musikverständnisses;6+ Jahre;Musikquiz, Musik-Memory, Instrumente erkennen, Komponisten kennenlernen, Konzerte besuchen.
Das Kind spielt ein Schattentheater mit selbstgebastelten Figuren.;Ästhetik und Gestaltung;Theaterspiel;Schattentheater;Förderung der Fantasie und der kreativen Gestaltung;6+ Jahre;Schattentheater-Figuren basteln, Bühnenbild gestalten, Geschichten erzählen, Licht- und Schattenspiele.
Das Kind gestaltet ein Relief aus Pappmaché.;Ästhetik und Gestaltung;Kunst;Reliefgestaltung;Förderung der räumlichen Vorstellungskraft und der handwerklichen Fähigkeiten;6+ Jahre;Pappmaché herstellen, Reliefs formen, Gegenstände abformen, Vorlagen verwenden, freies Gestalten.
Das Kind spielt ein Klangspiel mit Alltagsgegenständen.;Ästhetik und Gestaltung;Mmusik;Klangexperimente;Förderung der musikalischen Kreativität und des Umgangs mit Klängen;5+ Jahre;Klangspiele mit Alltagsgegenständen, Instrumente bauen, Geräusche erzeugen, Klanggeschichten, Musikspiele.
Das Kind spielt ein Rollenspiel mit selbstgebastelten Kostümen.;Ästhetik und Gestaltung;Theaterspiel;Kostümgestaltung;Förderung der Kreativität und der Verwandlungsfähigkeit;6+ Jahre;"Kostüme basteln, Verkleiden, Rollenspiele, Improvisationstheater, Kreispiel ""Ich bin in den Brunnen gefallen""."
Das Kind gestaltet ein Windspiel aus Naturmaterialien.;Ästhetik und Gestaltung;Kunst;Windspielgestaltung;Förderung der Kreativität und des Umweltbewusstseins;5+ Jahre;Sammeln von Naturmaterialien, Windspiele bauen, Geräusche erzeugen, Naturbeobachtungen, Land Art.
Das Kind spielt oder singt eine Filmszene mit Gesang und Schauspiel nach.;Ästhetik und Gestaltung;Theaterspiel;Musiktheater;Förderung der musikalischen und darstellerischen Fähigkeiten;7+ Jahre;Musiktheaterstücke einstudieren
Das Kind vermeidet es, Bilder zu malen oder zu zeichnen.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Bildnerisches Gestalten;Förderung der Freude am Gestalten und des Selbstvertrauens;4+ Jahre;"Fingerfarben anbieten, große Papierbögen auslegen, Malen mit Naturmaterialien, Geschichten malen, gemeinsames Malen, Kreispiel ""Katz und Maus""."
Das Kind zeigt wenig Interesse an Musik und reagiert kaum auf Melodien.;Ästhetik und Gestaltung;Musik;Musikalische Früherziehung;Förderung der musikalischen Wahrnehmung und des Interesses an Musik;4+ Jahre;Verschiedene Musikrichtungen vorspielen, Instrumente vorstellen, Musikspiele spielen, Klanggeschichten erzählen, gemeinsames Singen.
Das Kind zeigt wenig Interesse am Gestalten von Bühnenbildern oder Kulissen.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Bühnenbildgestaltung;Förderung der Kreativität und des räumlichen Vorstellungsvermögens;5+ Jahre;Einfache Bühnenbilder gestalten lassen, Materialien vorstellen, gemeinsames Bauen, Licht- und Schattenspiele.
Das Kind malt immer nur das Gleiche und zeigt wenig Fantasie.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Kreativität;Förderung der Fantasie und des Ausdrucks;4+ Jahre;Bilderbücher anschauen, Geschichten erzählen, Malen nach Musik, verschiedene Materialien anbieten, Ausstellungen besuchen.
Das Kind hat Schwierigkeiten, Melodien oder Rhythmen zu erkennen und nachzuspielen.;Ästhetik und Gestaltung;Musik;Musik hören und verstehen;Förderung der musikalischen Wahrnehmung und des Rhythmusgefühls;5+ Jahre;Einfache Melodien vorspielen, Rhythmusspiele, Instrumente vorstellen, Musik-Memory, Klanggeschichten.
Das Kind wirkt unsicher beim Erzählen von Geschichten und beim Darstellen von Rollen.;Ästhetik und Gestaltung;Theaterspiel;Erzählen und Darstellen;Förderung der sprachlichen Fähigkeiten und des Selbstvertrauens;5+ Jahre;"Einfache Geschichten erzählen lassen, Rollenspiele mit klaren Vorgaben, Puppenspiele, Märchen nachspielen, Kreispiel ""Katz und Maus""."
Das Kind hat Schwierigkeiten, im Chor mitzusingen und sich an Lieder zu erinnern.;Ästhetik und Gestaltung;Musik;Chorisches Singen;Förderung der musikalischen Fähigkeiten und des Gedächtnisses;5+ Jahre;Einfache Lieder singen, Lieder wiederholen, Musikspiele, gemeinsames Singen, Konzerte besuchen.
Das Kind wirkt unsicher beim Schlüpfen in verschiedene Rollen und beim Interagieren mit anderen.;Ästhetik und Gestaltung;Theaterspiel;Rollenspiel;Förderung der Empathie und des sozialen Miteinanders;5+ Jahre;"Einfache Rollenspiele mit klaren Vorgaben, Puppenspiele, Märchen nachspielen, Kreispiel ""Katz und Maus""."
Das Kind hat Schwierigkeiten, Instrumente zu erkennen und deren Klänge zu unterscheiden.;Ästhetik und Gestaltung;Musik;Instrumentenkunde;Förderung der musikalischen Wahrnehmung und des Instrumentenverständnisses;5+ Jahre;Instrumente vorstellen, Musik-Memory, Klanggeschichten, Konzerte besuchen, Musikspiele.
Das Kind wirkt unsicher beim Erfinden von Figuren und beim Spielen im Theater.;Ästhetik und Gestaltung;Theaterspiel;Figurentheater;Förderung der Fantasie und der kreativen Gestaltung;5+ Jahre;"Einfache Handpuppen-Theater, Schattentheater, Puppenspiele, Kreispiel ""Katz und Maus""."
Das Kind zeigt wenig Interesse an der Gestaltung von Fensterbildern und wirkt ungeschickt.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Fenstergestaltung;Förderung der Kreativität und des Umgangs mit Materialien;4+ Jahre;Einfache Fensterbilder gestalten lassen, verschiedene Materialien vorstellen, gemeinsames Gestalten.
Das Kind wirkt unsicher beim Improvisationstheater und hat Schwierigkeiten, spontan zu reagieren.;Ästhetik und Gestaltung;Theaterspiel;Improvisationstheater;Förderung der Spontanität und der kreativen Gestaltung;6+ Jahre;"Einfache Improvisationsübungen, Rollenspiele mit klaren Vorgaben, Kreispiel ""Katz und Maus""."
Das Kind hat Schwierigkeiten, Mosaike zu gestalten und wirkt ungeduldig.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Mosaikgestaltung;Förderung der Feinmotorik und des räumlichen Denkens;5+ Jahre;Einfache Mosaikvorlagen anbieten, verschiedene Materialien vorstellen, gemeinsames Gestalten.
Das Kind hat Schwierigkeiten, Musikstücke zu erkennen und wirkt unaufmerksam.;Ästhetik und Gestaltung;Musik;Musikwissen;Förderung des musikalischen Gedächtnisses und des Musikverständnisses;6+ Jahre;Einfache Musikquizspiele, Musik-Memory, Instrumente vorstellen, Konzerte besuchen.
Das Kind hat Schwierigkeiten, Klangspiele zu spielen und wirkt unaufmerksam.;Ästhetik und Gestaltung;Musik;Klangexperimente;Förderung der musikalischen Kreativität und des Umgangs mit Klängen;5+ Jahre;Einfache Klangspiele mit Alltagsgegenständen, Instrumente vorstellen, Klanggeschichten, Musikspiele.
Das Kind wirkt unsicher beim Spielen mit Kostümen und hat Schwierigkeiten, sich zu verwandeln.;Ästhetik und Gestaltung;Theaterspiel;Kostümgestaltung;Förderung der Kreativität und der Verwandlungsfähigkeit;6+ Jahre;"Einfache Kostüme anbieten, Verkleiden, Rollenspiele mit klaren Vorgaben, Kreispiel ""Katz und Maus""."
Das Kind reagiert kaum auf unterschiedliche Rhythmen in der Musik.;Ästhetik und Gestaltung;Musik;Rhythmik;Förderung des Rhythmusgefühls und der musikalischen Wahrnehmung;5+ Jahre;Rhythmusspiele mit Klatsch und Stampfen, Rhythmusinstrumente spielen, Bewegungslieder, Tanzspiele, Klanggeschichten.
Das Kind zeigt wenig Interesse an Rollenspielen mit vorgegebenen Rollen.;Ästhetik und Gestaltung;Theaterspiel;Rollenverständnis;Förderung des Rollenverständnisses und der sozialen Interaktion;6+ Jahre;"Rollenspiele mit klaren Vorgaben, Puppenspiele, Märchen nachspielen, Kreispiel ""Gehet durch die goldne Brücke""."
Das Kind reagiert kaum auf unterschiedliche Tonhöhen in der Musik.;Ästhetik und Gestaltung;Musik;Melodieverständnis;Förderung des Melodieverständnisses und der musikalischen Wahrnehmung;6+ Jahre;Melodien nachsingen, Instrumente nach Tonhöhe ordnen, Musik-Memory, Klanggeschichten.
Das Kind zeigt wenig Interesse an der Gestaltung von Bühnenbildern mit verschiedenen Elementen.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Bühnenbildgestaltung;Förderung des räumlichen Vorstellungsvermögens und der Kreativität;7+ Jahre;Bühnenbilder mit verschiedenen Materialien gestalten, Kulissen bauen, Licht- und Schattenspiele.
Das Kind malt Bilder ohne Bezug zur Realität und zeigt wenig Interesse an Details.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Realitätsbezug;Förderung des Realitätsbezugs und der Beobachtungsgabe;5+ Jahre;Naturmaterialien abmalen, Gegenstände nach Vorlage malen, Bilderbücher anschauen, Ausstellungen besuchen.
Das Kind hat Schwierigkeiten, einfache Melodien nachzuspielen und wirkt unmusikalisch.;Ästhetik und Gestaltung;Musik;Instrumentenspiel;Förderung der instrumentalen Fähigkeiten und des Notenverständnisses;6+ Jahre;Einfache Instrumente ausprobieren, Noten lesen lernen, Lieder nachspielen, Musikspiele.
Das Kind zeigt wenig Interesse an der Darstellung von Figuren und Charakteren im Theater.;Ästhetik und Gestaltung;Theaterspiel;Figurendarstellung;Förderung der darstellerischen Fähigkeiten und der Empathie;7+ Jahre;Puppenspiele, Schattentheater, Figurenbau, Improvisationstheater.
Das Kind hat Schwierigkeiten, Farben zu mischen und wirkt ungeduldig.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Farbverständnis;Förderung des Farbverständnisses und der Feinmotorik;5+ Jahre;Farbexperimente, Farbkreise malen, Malen mit verschiedenen Farben, Collagen gestalten.
Das Kind reagiert kaum auf unterschiedliche Klangfarben in der Musik.;Ästhetik und Gestaltung;Musik;Klangfarbenverständnis;Förderung des Klangfarbenverständnisses und der musikalischen Wahrnehmung;6+ Jahre;Instrumente nach Klangfarbe ordnen, Musik-Memory, Klanggeschichten, Konzerte besuchen.
Das Kind zeigt wenig Interesse an der Gestaltung von Kostümen und wirkt ungeschickt.;Ästhetik und Gestaltung;Theaterspiel;Kostümgestaltung;Förderung der kreativen Gestaltung und der Feinmotorik;7+ Jahre;"Kostüme basteln, Verkleiden, Rollenspiele mit Kostümen, Kreispiel ""Gehet durch die goldne Brücke""."
Das Kind malt Bilder ohne Bezug zu Raum und Perspektive.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Raumverständnis;Förderung des Raumverständnisses und der räumlichen Vorstellungskraft;6+ Jahre;Perspektivisches Zeichnen, Raumpläne malen, Collagen gestalten, Ausstellungen besuchen.
Das Kind zeigt wenig Interesse an der Gestaltung von Masken und wirkt unkreativ.;Ästhetik und Gestaltung;Kunst;Maskengestaltung;Förderung der kreativen Gestaltung und der Verwandlungsfähigkeit;7+ Jahre;"Masken basteln, Rollenspiele mit Masken, Schattentheater, Kreispiel ""Gehet durch die goldne Brücke""."
Das Kind reagiert kaum auf unterschiedliche Tempi in der Musik.;Ästhetik und Gestaltung;Musik;Tempoverständnis;Förderung des Tempoverständnisses und der musikalischen Wahrnehmung;7+ Jahre;Musikstücke mit unterschiedlichem Tempo vorspielen, Bewegungslieder, Rhythmusspiele.
Das Kind malt Bilder ohne Bezug zu Licht und Schatten.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Licht- und Schattenverständnis;Förderung des Licht- und Schattenverständnisses und der Beobachtungsgabe;7+ Jahre;Licht- und Schattenspiele, Malen mit Licht und Schatten, Collagen gestalten, Ausstellungen besuchen.
Das Kind hat Schwierigkeiten, Musikstücke zu improvisieren und wirkt unkreativ.;Ästhetik und Gestaltung;Musik;Musikimprovisation;Förderung der musikalischen Kreativität und des Selbstvertrauens;7+ Jahre;Freie Improvisation mit Instrumenten, Klanggeschichten, Musikspiele.
Das Kind reagiert kaum auf unterschiedliche Dynamik in der Musik.;Ästhetik und Gestaltung;Musik;Dynamikverständnis;Förderung des Dynamikverständnisses und der musikalischen Wahrnehmung;7+ Jahre;Musikstücke mit unterschiedlicher Dynamik vorspielen, Bewegungslieder, Klanggeschichten.
Das Kind zeigt wenig Interesse an der Gestaltung von Bühnenmodellen und wirkt unkreativ.;Ästhetik und Gestaltung;Theaterspiel;Bühnenmodellbau;Förderung der räumlichen Vorstellungskraft und der kreativen Gestaltung;7+ Jahre;Bühnenmodelle aus verschiedenen Materialien bauen, Kulissen gestalten, Licht- und Schattenspiele.
Das Kind malt Bilder ohne Bezug zu Bewegung und Dynamik.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Bewegungsdarstellung;Förderung der Bewegungsdarstellung und der Beobachtungsgabe;7+ Jahre;Bewegungsstudien, Malen nach Musik, Collagen gestalten, Ausstellungen besuchen.
Das Kind hat Schwierigkeiten, Musikstücke zu komponieren und wirkt unkreativ.;Ästhetik und Gestaltung;Musik;Musikkomposition;Förderung der musikalischen Kreativität und des Selbstvertrauens;7+ Jahre;Einfache Musikstücke komponieren, Lieder schreiben, Musikspiele.
Das Kind zeigt wenig Interesse an der Gestaltung von Schattentheaterfiguren und wirkt ungeschickt.;Ästhetik und Gestaltung;Theaterspiel;Schattentheaterfiguren;Förderung der kreativen Gestaltung und der Feinmotorik;7+ Jahre;Schattentheaterfiguren basteln, Bühnenbild gestalten, Licht- und Schattenspiele.
Das Kind malt ausdauernd und mit viel Freude Bilder.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Förderung der Kreativität und des Ausdrucks;4+ Jahre;"Freies Malen mit verschiedenen Materialien, Farbexperimente, Malen nach Musik, Gestalten von Mandalas, Ausstellungen besuchen, Kreispiel ""Katz und Maus"".";Steine bemalen mit Acrylstiften, Mandalas ausmalen, Malen mit Naturmaterialien (z.B. Blätter, Zweige), Malen mit Straßenmalkreide.
Das Kind singt oft und gerne Lieder und erfindet eigene Melodien.;Ästhetik und Gestaltung;Musik;Förderung der musikalischen Kreativität und des Rhythmusgefühls;4+ Jahre;Singen von Liedern, Instrumente ausprobieren, eigene Lieder erfinden, Musik-Memory, Tanzspiele.;Lieder mit Bewegungen begleiten, Musikinstrumente aus Alltagsgegenständen basteln, Musik-Bingo spielen, Musik-CDs gestalten.
Das Kind spielt oft Rollenspiele und erfindet eigene Geschichten.;Ästhetik und Gestaltung;Theaterspiel;Förderung der Fantasie und des sozialen Miteinanders;5+ Jahre;"Märchen nachspielen, Handpuppen-Theater, Verkleiden, Improvisationstheater, Schattentheater, Kreispiel ""Katz und Maus"".";"Verkleidungskiste anlegen, Rollenspiele mit Handpuppen, Schattentheater mit selbstgebastelten Figuren, Kreispiel ""Gehet durch die goldne Brücke""."
Das Kind tanzt gerne zu Musik und erfindet eigene Bewegungen.;Ästhetik und Gestaltung;Musik;Förderung des Körpergefühls und der Koordination;4+ Jahre;Freies Tanzen, Tanzspiele, Choreografien nachahmen, Tanzen mit Tüchern, Bewegungslieder.;Tanz mit Tüchern, Tanz zu verschiedenen Musikstilen, Bewegungsspiele mit Bällen, Tanz mit Rhythmusinstrumenten.
Das Kind gestaltet gerne Bühnenbilder und Kulissen für Theaterstücke.;Ästhetik und Gestaltung;Theaterspiel;Förderung der Kreativität und des räumlichen Vorstellungsvermögens;5+ Jahre;Bauen von Kulissen, Malen von Hintergründen, Gestalten mit verschiedenen Materialien, Licht- und Schattenspiele.;Bühnenbild mit Naturmaterialien gestalten, Kulissen aus Kartons bauen, Bühnenbild mit Lichteffekten gestalten, Schattentheater-Bühne bauen.
Das Kind malt gerne Selbstporträts und betrachtet sich im Spiegel.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Förderung des Selbstbewusstseins und der Identitätsentwicklung;4+ Jahre;Spiegelspiele, Fotos anschauen, über sich selbst sprechen, Malen nach Vorlage, freies Gestalten.;Foto-Collage gestalten, Handabdruck-Bilder malen, Schattenbilder von sich selbst malen, Freundschaftsbänder knüpfen.
Das Kind spielt gerne Instrumente und lernt schnell neue Lieder.;Ästhetik und Gestaltung;Musik;Förderung der musikalischen Fähigkeiten und des Notenverständnisses;5+ Jahre;Instrumente ausprobieren, Noten lesen lernen, einfache Lieder spielen, Musikspiele, Konzerte besuchen.;Instrumente aus Alltagsgegenständen bauen, Musik-Memory mit Instrumenten, Rhythmus-Karten spielen, Musik-Rätsel lösen.
Das Kind erfindet gerne Geschichten und spielt sie vor.;Ästhetik und Gestaltung;Theaterspiel;Förderung der Fantasie und der sprachlichen Fähigkeiten;5+ Jahre;"Geschichten erzählen, Rollenspiele, Improvisationstheater, Puppenspiele, Kreispiel ""Katz und Maus"".";Geschichten mit Reimen erzählen, Puppentheater mit selbstgebastelten Figuren, Geschichten mit Bildern erzählen, Geschichten mit Geräuschen untermalen.
Das Kind gestaltet gerne Mobiles aus Naturmaterialien.;Ästhetik und Gestaltung;Kunst;Förderung der Kreativität und des Umweltbewusstseins;4+ Jahre;Sammeln von Naturmaterialien, Gestalten mit Blättern, Steinen, Zweigen, Bauen von Mobiles, Land Art.;Windspiele aus Naturmaterialien basteln, Natur-Collagen gestalten, Natur-Mandala legen, Natur-Skulpturen bauen.
Das Kind singt gerne im Chor und lernt schnell neue Lieder.;Ästhetik und Gestaltung;Musik;Förderung des Gemeinschaftsgefühls und der musikalischen Fähigkeiten;5+ Jahre;Singen von Liedern, Kanons, mehrstimmigen Liedern, Musikspiele, Konzerte besuchen.;Lieder mit Bewegungen begleiten, Lieder mit Instrumenten begleiten, Lieder mit Bodypercussion begleiten, Lieder mit verschiedenen Sprachen singen.
Das Kind spielt gerne Rollenspiele und schlüpft in verschiedene Rollen.;Ästhetik und Gestaltung;Theaterspiel;Förderung der Empathie und des sozialen Miteinanders;5+ Jahre;"Rollenspiele, Improvisationstheater, Puppenspiele, Märchen nachspielen, Kreispiel ""Katz und Maus"".";Rollenspiele mit verschiedenen Emotionen, Rollenspiele mit verschiedenen Berufen, Rollenspiele mit verschiedenen Tieren, Rollenspiele mit verschiedenen Märchenfiguren.
Das Kind gestaltet gerne Gemeinschaftsbilder und arbeitet gerne mit anderen zusammen.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Förderung der Zusammenarbeit und des sozialen Miteinanders;4+ Jahre;Gemeinsames Malen, Collagen gestalten, Wandbilder malen, Projekte planen und durchführen.;Gemeinschaftsbilder mit verschiedenen Techniken malen, Gemeinschafts-Skulpturen bauen, Gemeinschafts-Mosaike legen, Gemeinschafts-Landart-Projekte gestalten.
Das Kind hört gerne Musik und erkennt Instrumente.;Ästhetik und Gestaltung;Musik;Förderung der musikalischen Wahrnehmung und des Instrumentenverständnisses;5+ Jahre;Musik hören, Instrumente erkennen, Musikspiele, Konzerte besuchen, Klanggeschichten.;Musik-Memory mit Instrumenten, Instrumenten-Rätsel lösen, Instrumente nach Klangfarbe ordnen, Musik-CDs gestalten.
Das Kind spielt gerne Theaterstücke vor Publikum.;Ästhetik und Gestaltung;Theaterspiel;Förderung des Selbstbewusstseins und der Bühnenpräsenz;6+ Jahre;"Theaterstücke einstudieren, Bühnenbilder gestalten, Kostüme entwerfen, vor Publikum auftreten, Kreispiel ""Katz und Maus"".";Theaterstücke mit verschiedenen Rollen spielen, Theaterstücke mit verschiedenen Genres spielen, Theaterstücke mit verschiedenen Sprachen spielen, Theaterstücke mit verschiedenen Themen spielen.
Das Kind malt gerne mit Fingerfarben und experimentiert mit Farben.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Förderung der sensorischen Wahrnehmung und der Kreativität;3+ Jahre;Malen mit Fingerfarben, Schwämmen, Pinseln, Naturmaterialien, Farbexperimente, freies Gestalten.;Fingerfarben mit verschiedenen Materialien mischen, Fingerfarben auf verschiedenen Untergründen auftragen, Fingerfarben-Bilder mit verschiedenen Techniken gestalten, Fingerfarben-Bilder mit verschiedenen Themen gestalten.
Das Kind spielt gerne Rhythmusinstrumente und erfindet eigene Rhythmen.;Ästhetik und Gestaltung;Musik;Förderung des Rhythmusgefühls und der Koordination;4+ Jahre;Rhythmusinstrumente spielen, Rhythmusspiele, Bewegungslieder, Bodypercussion, Klanggeschichten.;Rhythmusspiele mit verschiedenen Materialien spielen, Rhythmusspiele mit verschiedenen Geschwindigkeiten spielen, Rhythmusspiele mit verschiedenen Lautstärken spielen, Rhythmusspiele mit verschiedenen Melodien spielen.
Das Kind erfindet gerne eigene Figuren und spielt sie im Theater.;Ästhetik und Gestaltung;Theaterspiel;Förderung der Fantasie und der kreativen Gestaltung;5+ Jahre;Handpuppen-Theater, Schattentheater, Marionetten-Theater, Figurenbau, Improvisationstheater.;Handpuppen aus verschiedenen Materialien basteln, Schattentheater mit verschiedenen Lichteffekten gestalten, Marionetten mit verschiedenen Bewegungen steuern, Figurentheater mit verschiedenen Themen spielen.
Das Kind gestaltet gerne Fensterbilder mit Transparentpapier.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Förderung der Kreativität und des Umgangs mit Licht und Farbe;4+ Jahre;Gestalten mit Transparentpapier, Fensterbilder malen, Collagen kleben, Licht- und Schattenspiele.;Fensterbilder mit verschiedenen Formen gestalten,
Das Kind zeigt Interesse an verschiedenen Instrumenten und probiert sie aus.;Ästhetik und Gestaltung;Musik;Förderung des Interesses an Musikinstrumenten;3+;Musikinstrumente basteln;Musikinstrumente ausprobieren, gemeinsames Musizieren, Musik-Rätsel lösen, Instrumente nach Klangfarbe ordnen
Das Kind experimentiert mit verschiedenen Materialien und erzeugt damit Klänge.;Ästhetik und Gestaltung;Musik;Förderung des experimentellen Umgangs mit Klängen;3+;Materialien als Klangkörper benutzen;Klangkörper aus Alltagsgegenständen bauen, Geräusche aufnehmen und abspielen, Klanggeschichten erfinden, Musikinstrumente mit verschiedenen Materialien bauen
