Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind lässt sich nach einem Streit von einer Fachkraft trösten;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Trost suchen;Förderung von sozialer Unterstützung bei starken Emotionen;3+ Jahre;Kuschelpunkte, Tröste-Bücher, Geschichten über Trost
Das Kind nennt eine Strategie: „Ich geh lieber malen, dann bin ich ruhig“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Kompensationsstrategien;Förderung von individuellen Bewältigungsmechanismen;5+ Jahre;Malstation, Ausweichangebote, Kreativpausen
Das Kind verzieht das Gesicht und sagt: „Ich bin sauer auf dich“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Gefühlsausdruck mit Worten;Förderung von kommunikativer Emotionsverarbeitung;4+ Jahre;Gefühlskarten, Emotionsgespräche, Wutgeschichten
Das Kind erkennt die Gefühle eines anderen: „Du bist traurig, oder?“;Emotionen und soziale Beziehungen;Emotionale Kompetenz;Empathie;Förderung von Perspektivübernahme und Mitgefühl;4+ Jahre;Partnerübungen, Emotions-Bilderbücher, Gespräch über Gefühle
Das Kind bricht in Tränen aus, beruhigt sich aber mit Hilfe eines Tuchs;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Beruhigung durch Gegenstände;Förderung von Selbstberuhigungsstrategien;3+ Jahre;Tröste-Korb, Schnuffeltücher, Beruhigungsecken
Das Kind meldet sich mit zitternder Stimme und sagt: „Ich hab Angst“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Angstbewältigung;Förderung von Mut und Ausdruck innerer Zustände;5+ Jahre;Mutgeschichten, Angstkarten, Ich-schaff-das-Rituale
Das Kind sagt: „Ich war ganz wütend, aber ich hab nichts gemacht“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Selbstkontrolle;Förderung von Kontrolle über Impulse;5+ Jahre;Erfolgstagebuch, Emotionsleiter, Gespräch über Beherrschung
Das Kind weicht einer konflikthaften Situation aus;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Vermeidung;Förderung von sicherem Rückzug und alternativer Reaktion;3+ Jahre;Rollenspiele „Was kann ich tun?“, Schutzstrategien, Gespräch über Alternativen
Das Kind flüstert bei einer neuen Aktivität: „Ich trau mich nicht“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Unsicherheitsregulation;Förderung von Mut und Selbstwertgefühl;4+ Jahre;Mutkarten, kleine Erfolgsschritte feiern, Ich-kann-das-Wand
Das Kind zählt leise bis zehn, um sich zu beruhigen;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Strategien zur Selbstberuhigung;Förderung von alltagstauglicher Emotionskontrolle;5+ Jahre;Zähl-Spiele, Visualisierungstechniken, Ruhesymbole
Das Kind spricht über einen Streit: „Ich war so sauer, aber ich hab gesagt: Stopp!“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Konfliktverhalten;Förderung von konstruktivem Ausdruck von Wut;5+ Jahre;Streitgeschichten, Konfliktlösungsplakat, Gefühlswegweiser
Das Kind sagt nach einem Wutausbruch: „Ich mach das morgen nochmal besser“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Selbstreflexion;Förderung von Einsicht und Selbstverbesserung;5+ Jahre;„Was war gut, was war schwer?“-Ritual, Reflexionskarten
Das Kind schreit laut und beruhigt sich durch tiefes Atmen;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Körperliche Regulation;Förderung der Verknüpfung von Körper- und Emotionswahrnehmung;4+ Jahre;Atemspiele, Bewegung zur Beruhigung, Gefühls-Yoga
Das Kind malt seine Wut in roten Farben;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Kreativer Ausdruck;Förderung des Gefühlsausdrucks über kreative Mittel;4+ Jahre;Gefühlsmalen, Farben und Gefühle zuordnen, Kreativbox für Emotionen
Das Kind ruft laut „Ich hab keine Lust mehr!“ und geht weg;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Frustrationstoleranz;Förderung des Umgangs mit Überforderung;3+ Jahre;Gefühlsampel, Auszeitkissen, Gespräch über Ausstiegssignale
Das Kind sagt im Morgenkreis: „Ich war traurig, aber dann hab ich Mama angerufen“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Bindungsstrategien;Förderung von emotionaler Sicherheit und Selbsthilfe;5+ Jahre;Elternbilderbuch, Ich-halt-mich-fest-Gegenstand, Gespräch über Sehnsucht
Das Kind fragt: „Was kann ich machen, wenn ich wieder so wütend bin?“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Selbsthilfeplanung;Förderung von vorausschauendem Handeln in emotionalen Situationen;5+ Jahre;Strategiekarten, „Wenn-dann“-Pläne, Gefühlslandkarte
Das Kind schlägt vor, ein Wutkissen zu benutzen;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Umgang mit starker Erregung;Förderung von alternativen Handlungsmustern;4+ Jahre;Wutkissen-Ecke, Emotionsbox, Gespräch über starke Gefühle
Das Kind sieht wütend aus, sagt aber: „Ich will nicht schubsen“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Impulshemmung;Förderung von emotionaler Kontrolle im sozialen Miteinander;5+ Jahre;Rollenspiele zu Impulskontrolle, Körper-Stopp-Übungen, Sozialgeschichten
Das Kind ruft: „Ich bin richtig sauer, aber ich reiß mich zusammen“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Anstrengungsbereitschaft zur Regulation;Förderung von innerer Stärke im Umgang mit Wut;5+ Jahre;Ich-bin-stark-Karten, Emotionsskala, Gespräch über Selbstbeherrschung
Das Kind benennt seine Gefühle und kann sie in verschiedenen Situationen zuordnen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Gefühlswahrnehmung;Förderung der emotionalen Kompetenz und der Fähigkeit, Gefühle zu benennen und auszudrücken;3+;Gesprächskreise, in denen Gefühle thematisiert werden
Das Kind äußert seine Bedürfnisse klar und deutlich und kann diese auch begründen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Selbstbehauptung;Förderung der Selbstbehauptung und der Fähigkeit, eigene Bedürfnisse auszudrücken;4+;Rollenspiele, in denen das Kind seine Wünsche äußert
Das Kind zeigt Stolz auf seine eigenen Leistungen und kann diese auch anderen präsentieren.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Selbstwertgefühl;Stärkung des Selbstwertgefühls und der Selbstwirksamkeit;4+;Präsentationen, in denen das Kind seine Arbeiten vorstellt
Das Kind vermeidet Blickkontakt und wirkt unsicher im Umgang mit anderen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Soziale Interaktion;Förderung des sozialen Kontakts und des Selbstvertrauens;3+ Jahre;Gemeinsame Spiele, Partnerübungen, Rollenspiele mit klaren Vorgaben
Das Kind zeigt wenig Interesse an gemeinsamen Aktivitäten und spielt lieber alleine.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Gemeinschaftsfähigkeit;Förderung der Integration und des Gemeinschaftsgefühls;4+ Jahre;Gemeinschaftsprojekte, Gruppenpuzzle, Partneraufgaben, Kreisspiele
Das Kind reagiert aggressiv auf Konflikte und hat Schwierigkeiten, Kompromisse zu finden.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Konfliktbewältigung;Förderung der Konfliktfähigkeit und der Empathie;5+ Jahre;Rollenspiele mit Konfliktsituationen, Gesprächsrunden, Friedensspiele, Mediation
Das Kind zeigt wenig Empathie und hat Schwierigkeiten, sich in andere hineinzuversetzen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Empathie;Förderung des Einfühlungsvermögens und der Rücksichtnahme;4+ Jahre;Rollenspiele mit Perspektivwechsel, Geschichten erzählen, Gefühle-Karten spielen, Bilderbücher vorlesen
Das Kind hat Schwierigkeiten, Gefühle zu benennen und auszudrücken.;Emotionen und soziale Beziehungen;Emotionen;Emotionsregulation;Förderung der emotionalen Kompetenz und der Selbstwahrnehmung;3+ Jahre;Gefühle-Karten spielen, Bilderbücher über Gefühle vorlesen, Rollenspiele mit Gefühlen, Gesprächsrunden
Das Kind zieht sich bei neuen Situationen zurück und wirkt ängstlich.;Emotionen und soziale Beziehungen;Emotionen;Selbstvertrauen;Förderung des Selbstvertrauens und der Selbstständigkeit;4+ Jahre;Mutproben, Erfolgserlebnisse schaffen, positive Rückmeldungen geben, Rollenspiele mit Erfolgsszenarien
Das Kind hat Schwierigkeiten, Regeln einzuhalten und wirkt ungeduldig.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Regelverständnis;Förderung des Regelverständnisses und der Selbstkontrolle;5+ Jahre;Regelspiele, Gesprächsrunden über Regeln, Konsequenzen aufzeigen, Vorbild sein
Das Kind zeigt wenig Interesse an Freundschaften und wirkt isoliert.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Freundschaften;Förderung der Freundschaftsfähigkeit und der sozialen Integration;4+ Jahre;Partnerübungen, gemeinsame Spiele, Freundschaftsbänder knüpfen, Freundschaftsbücher gestalten
Das Kind hat Schwierigkeiten, sich von Bezugspersonen zu trennen und wirkt anhänglich.;Emotionen und soziale Beziehungen;Emotionen;Ablösung;Förderung der Selbstständigkeit und der Ablösungskompetenz;3+ Jahre;Rituale einführen, Abschiedsspiele, Übergangsobjekte, positive Trennungserfahrungen schaffen
Das Kind zeigt wenig Interesse an Gruppenaktivitäten und wirkt unbeteiligt.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Gruppenfähigkeit;Förderung der Gruppenintegration und der sozialen Teilhabe;5+ Jahre;Gemeinschaftsprojekte, Gruppenpuzzle, Rollenspiele mit Gruppenaufgaben, Kreisspiele
Das Kind hat Schwierigkeiten, Kritik anzunehmen und reagiert empfindlich.;Emotionen und soziale Beziehungen;Emotionen;Kritikfähigkeit;Förderung der Kritikfähigkeit und der Selbstreflexion;6+ Jahre;Feedback-Regeln einführen, Rollenspiele mit Kritikgesprächen, positive Kritik üben, Selbstreflexionsübungen
Das Kind zeigt wenig Interesse an der Perspektive anderer und wirkt egozentrisch.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Perspektivenübernahme;Förderung der Perspektivenübernahme und der Empathie;5+ Jahre;Rollenspiele mit Perspektivwechsel, Geschichten aus verschiedenen Perspektiven erzählen, Bilderbücher mit Perspektivwechsel vorlesen, Gesprächsrunden
Das Kind hat Schwierigkeiten, Gefühle anderer zu erkennen und wirkt unaufmerksam.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Gefühlserkennung;Förderung der Gefühlserkennung und der Empathie;4+ Jahre;Gefühle-Karten spielen, Bilderbücher über Gefühle vorlesen, Rollenspiele mit Gefühlen, Gesprächsrunden
Das Kind zeigt wenig Interesse an der Auseinandersetzung mit eigenen Stärken und Schwächen und wirkt unreflektiert.;Emotionen und soziale Beziehungen;Emotionen;Selbstreflexion;Förderung der Selbstreflexion und der Selbstwahrnehmung;6+ Jahre;Stärken-Schwächen-Analyse, Selbstreflexionsübungen, Feedback-Gespräche, Erfolgstagebuch führen
Das Kind hat Schwierigkeiten, sich in neue Gruppen einzufügen und wirkt schüchtern.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Integration;Förderung der Integration und der sozialen Anpassung;5+ Jahre;Partnerübungen, gemeinsame Spiele, Rollenspiele mit Integration, Kreisspiele
Das Kind zeigt wenig Interesse an der Zusammenarbeit und wirkt unkooperativ.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Kooperation;Förderung der Kooperationsfähigkeit und der Teamarbeit;6+ Jahre;Gemeinschaftsprojekte, Gruppenpuzzle, Partneraufgaben, Rollenspiele mit Kooperation
Das Kind hat Schwierigkeiten, sich an Absprachen zu halten und wirkt unzuverlässig.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Zuverlässigkeit;Förderung der Zuverlässigkeit und der Verantwortlichkeit;6+ Jahre;Aufgaben übernehmen lassen, Verantwortung übertragen, Konsequenzen aufzeigen, Vorbild sein
Das Kind zeigt wenig Interesse an der Auseinandersetzung mit eigenen Wünschen und Bedürfnissen und wirkt unentschlossen.;Emotionen und soziale Beziehungen;Emotionen;Selbstbestimmung;Förderung der Selbstbestimmung und der Entscheidungsfähigkeit;6+ Jahre;Entscheidungsspiele, Rollenspiele mit Entscheidungen, Wunschlisten erstellen, Gesprächsrunden über Wünsche und Bedürfnisse
Das Kind zeigt Interesse an Rollenspielen mit verschiedenen Gefühlsausdrücken.;Emotionen und soziale Beziehungen;Emotionen;Emotionsregulation;Förderung der emotionalen Ausdrucksfähigkeit;4+ Jahre;Rollenspiele mit Gefühlskarten, Gefühle-Theater, Gesprächsrunden über Gefühle
Das Kind fragt nach den Gefühlen anderer Kinder und Erwachsener.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Empathie;Förderung der Empathie und der sozialen Wahrnehmung;5+ Jahre;Gesprächsrunden über Gefühle, Bilderbücher mit Gefühlsszenen, Rollenspiele mit Perspektivwechsel
Das Kind versucht, Konflikte zwischen anderen Kindern zu schlichten.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Konfliktbewältigung;Förderung der Konfliktfähigkeit und der sozialen Verantwortung;6+ Jahre;Streitschlichter-Training, Rollenspiele mit Konfliktlösungen, Friedensspiele, Gesprächsrunden über Konflikte
Das Kind erzählt gerne von eigenen Gefühlen und Erlebnissen.;Emotionen und soziale Beziehungen;Emotionen;Selbstreflexion;Förderung der Selbstwahrnehmung und der emotionalen Ausdrucksfähigkeit;4+ Jahre;Gesprächsrunden, Gefühle-Tagebuch, Rollenspiele mit Gefühlsszenen
Das Kind zeigt Interesse an Freundschaftsspielen und Partnerübungen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Freundschaften;Förderung der Freundschaftsfähigkeit und der sozialen Interaktion;5+ Jahre;Freundschafts-Rallye, Partner-Yoga, Freundschafts-Theater, gemeinsame Spiele
Das Kind fragt nach Regeln und Vereinbarungen in der Gruppe.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Regelverständnis;Förderung des Regelverständnisses und der sozialen Anpassung;6+ Jahre;Gesprächsrunden über Regeln, Regelspiele, Konsequenzen aufzeigen, Vorbild sein
Das Kind zeigt Interesse an der Auseinandersetzung mit verschiedenen Meinungen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Perspektivenübernahme;Förderung der Perspektivenübernahme und der Toleranz;6+ Jahre;Gesprächsrunden über verschiedene Meinungen, Rollenspiele mit Perspektivwechsel, Bilderbücher mit verschiedenen Perspektiven
Das Kind versucht, andere Kinder zu trösten und zu unterstützen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Empathie;Förderung der Empathie und der sozialen Verantwortung;5+ Jahre;Rollenspiele mit Trostszenen, Gesprächsrunden über Mitgefühl, Bilderbücher über Hilfsbereitschaft
Das Kind fragt nach den Konsequenzen von Handlungen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Verantwortlichkeit;Förderung der Verantwortlichkeit und der sozialen Kompetenz;6+ Jahre;Gesprächsrunden über Konsequenzen, Rollenspiele mit Entscheidungsszenarien, Aufgaben übernehmen lassen
Das Kind zeigt Interesse an der Auseinandersetzung mit eigenen Stärken und Schwächen.;Emotionen und soziale Beziehungen;Emotionen;Selbstreflexion;Förderung der Selbstwahrnehmung und der Selbstakzeptanz;6+ Jahre;Stärken-Schwächen-Analyse, Selbstreflexionsübungen, Erfolgstagebuch führen
Das Kind fragt nach den Rechten von Kindern.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Kinderrechte;Förderung des Bewusstseins für Kinderrechte und der sozialen Gerechtigkeit;7+ Jahre;Gesprächsrunden über Kinderrechte, Rollenspiele mit Kinderrechtsszenarien, Bilderbücher über Kinderrechte
Das Kind zeigt Interesse an der Auseinandersetzung mit eigenen Wünschen und Bedürfnissen.;Emotionen und soziale Beziehungen;Emotionen;Selbstbestimmung;Förderung der Selbstbestimmung und der Entscheidungsfähigkeit;6+ Jahre;Gesprächsrunden über Wünsche und Bedürfnisse, Entscheidungsspiele, Rollenspiele mit Entscheidungsszenarien
Das Kind fragt nach verschiedenen Lösungswegen bei Problemen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Problemlösung;Förderung der Problemlösefähigkeit und der sozialen Kompetenz;7+ Jahre;Gesprächsrunden über Problemlösungen, Rollenspiele mit Problemlösungsszenarien, Problemlöse-Spiele
Das Kind zeigt Interesse an der Auseinandersetzung mit eigenen Ängsten und Sorgen.;Emotionen und soziale Beziehungen;Emotionen;Angstbewältigung;Förderung der Angstbewältigung und der emotionalen Stabilität;6+ Jahre;Gesprächsrunden über Ängste und Sorgen, Rollenspiele mit Angstbewältigungsszenarien, Entspannungsübungen
Das Kind fragt nach verschiedenen Strategien zur Stressbewältigung.;Emotionen und soziale Beziehungen;Emotionen;Stressbewältigung;Förderung der Stressbewältigung und der emotionalen Resilienz;7+ Jahre;Gesprächsrunden über Stressbewältigung, Rollenspiele mit Stresssituationen, Entspannungsübungen
Das Kind zeigt Interesse an der Auseinandersetzung mit eigenen Erfolgen und Misserfolgen.;Emotionen und soziale Beziehungen;Emotionen;Leistungsbewusstsein;Förderung des Leistungsbewusstseins und der emotionalen Stabilität;7+ Jahre;Gesprächsrunden über Erfolge und Misserfolge, Rollenspiele mit Leistungssituationen, Erfolgstagebuch führen
Das Kind fragt nach verschiedenen Formen der sozialen Unterstützung.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Soziale Unterstützung;Förderung der sozialen Unterstützung und der sozialen Verantwortung;7+ Jahre;Gesprächsrunden über soziale Unterstützung, Rollenspiele mit Unterstützungsszenarien, Hilfsaktionen planen und durchführen
Das Kind erzählt von seinen Vorlieben und Interessen und fragt nach denen anderer.;Emotionen und soziale Beziehungen;Emotionen;Selbstbewusstsein;Förderung des Selbstbewusstseins und der sozialen Interaktion;4+ Jahre;Gesprächsrunden über Vorlieben, Rollenspiele mit Interessen, Freundschaftsbücher gestalten
Das Kind beschreibt seine körperlichen Merkmale und fragt nach denen anderer Kinder.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Identitätsentwicklung;Förderung der Identitätsentwicklung und der sozialen Wahrnehmung;5+ Jahre;Körperteile-Puzzle, Körperteile-Theater, Körperteile-Collage, Körperteile-Suchspiel
Das Kind zeigt Interesse an den Interessen anderer Kinder und Erwachsener.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Soziale Wahrnehmung;Förderung der sozialen Wahrnehmung und der Empathie;5+ Jahre;Gesprächsrunden über Interessen, Rollenspiele mit Interessen, Interessen-Interviews
Das Kind vergleicht sich ständig mit anderen Kindern in der Gruppe.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Vielfalt und Inklusion;Förderung des Verständnisses für Vielfalt und Inklusion;5+ Jahre;Gesprächsrunden über Unterschiede, Bilderbücher über Vielfalt, Rollenspiele mit Vielfalt
Das Kind beneidet andere um deren Besitz oder Spielzeug.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Soziale Gerechtigkeit;Förderung des Verständnisses für soziale Gerechtigkeit und Gleichheit;6+ Jahre;Bilderbücher über soziale Gerechtigkeit, Rollenspiele mit sozialen Unterschieden, Gesprächsrunden
Das Kind zeigt wenig Interesse an den Interessen und Fähigkeiten anderer und wirkt unaufmerksam.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Soziale Wahrnehmung;Förderung der sozialen Wahrnehmung und des Interesses an anderen;4+ Jahre;Gesprächsrunden über Interessen und Fähigkeiten, Rollenspiele mit Interessen, Interessens-Interviews
Das Kind zeigt wenig Interesse an Freundschaften und Interessensgemeinschaften und wirkt isoliert.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Freundschaften;Förderung der Freundschaftsfähigkeit und der sozialen Integration;5+ Jahre;Freundschaftsspiele, Partnerübungen, Gesprächsrunden über Freundschaften
Das Kind zeigt wenig Interesse an der Raumgestaltung und Materialauswahl in der Kita und wirkt unbeteiligt.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Kita-Kultur und Umgebung;Förderung des Verständnisses für die Kita-Umgebung und ihre Bedeutung;4+ Jahre;Gesprächsrunden über Raumgestaltung und Materialien, Rollenspiele mit Raumgestaltung, Bilderbücher über die Kita
Das Kind möchte wissen, welche Erfahrungsräume für Kinder verschwinden oder neu entstehen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Soziale Veränderungen;Förderung des Verständnisses für soziale Veränderungen und ihre Auswirkungen;6+ Jahre;Gesprächsrunden über Veränderungen, Rollenspiele mit Veränderungen, Zukunftswerkstatt-Spiele
Das Kind zeigt Neugier und Offenheit für neue Erfahrungen und Informationen.;Emotionen und soziale Beziehungen;Emotionen;Neugier und Offenheit;Förderung der Neugier und Offenheit für die Welt;4+ Jahre;Entdecker-Puzzle, Entdecker-Theater, Entdecker-Collage, Entdecker-Tour
Das Kind fragt aktiv nach Fotos von sich und anderen Kindern.;Emotionen und soziale Beziehungen;Emotionen;Ich-Bewusstsein, Selbstkonzept;Förderung des Selbstbewusstseins und der Selbstwahrnehmung;2+ Jahre;Fotoalbum gestalten, Fotos nach Gefühlen sortieren, Fotos von Ausflügen anschauen, Ausflug ins Rathaus.
Das Kind benennt spontan Gefühle bei sich und anderen und fragt nach deren Ursachen.;Emotionen und soziale Beziehungen;Emotionen;Emotionserkennung;Förderung der Emotionserkennung und des Empathievermögens;3+ Jahre;Gefühlekarten spielen, Bilderbücher mit Emotionen anschauen, Rollenspiele mit Gefühlen, Ausflug ins Rathaus.
Das Kind initiiert aktiv Spiele mit anderen Kindern und lädt andere zum Mitspielen ein.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Kontaktfähigkeit;Förderung der Kontaktfähigkeit und des sozialen Miteinanders;3+ Jahre;Gruppenspiele spielen, Partnerübungen, Rollenspiele, Ausflug ins Rathaus.
Das Kind erfindet gerne eigene Rollenspiele und schlüpft mit Begeisterung in verschiedene Rollen.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Rollenverständnis;Förderung des Rollenverständnisses und der Empathie;4+ Jahre;"Rollenspiele mit klaren Vorgaben, Puppenspiele, Märchen nachspielen, Kreispiel ""Gehet durch die goldne Brücke""."
Das Kind tröstet andere Kinder aktiv und fragt nach deren Befinden.;Emotionen und soziale Beziehungen;Emotionen;Empathie;Förderung der Empathie und des sozialen Miteinanders;4+ Jahre;Bilderbücher mit Mitgefühl anschauen, Rollenspiele mit tröstenden Szenen, Gesprächsrunden über Gefühle, Ausflug ins Rathaus.
Das Kind teilt bereitwillig Spielsachen und bietet anderen Kindern Hilfe an.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Hilfsbereitschaft;Förderung der Hilfsbereitschaft und des sozialen Miteinanders;3+ Jahre;Gemeinschaftsspiele spielen, Aufräumen helfen, Partnerübungen, Ausflug ins Rathaus.
Das Kind versucht aktiv, Konflikte zwischen anderen Kindern zu schlichten und schlägt Lösungen vor.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Konfliktfähigkeit;Förderung der Konfliktfähigkeit und des sozialen Miteinanders;5+ Jahre;Rollenspiele mit Konfliktsituationen, Gesprächsrunden über Konflikte, Regeln für Konfliktlösungen aufstellen.
Das Kind spricht offen über eigene Stärken und Schwächen und fragt nach Rückmeldungen.;Emotionen und soziale Beziehungen;Emotionen;Selbstreflexion;Förderung der Selbstreflexion und des Selbstbewusstseins;5+ Jahre;Gesprächsrunden über Stärken und Schwächen, Portfolioarbeit, Ich-Bücher gestalten.
Das Kind erzählt gerne von Freunden und fragt nach deren Befinden.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Freundschaftsfähigkeit;Förderung der Freundschaftsfähigkeit und des sozialen Miteinanders;4+ Jahre;Freundschaftsbücher gestalten, Rollenspiele mit Freundschaftsszenen, Gesprächsrunden über Freundschaften.
Das Kind beteiligt sich aktiv an Gruppenprojekten und schlägt eigene Ideen vor.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Kooperationsfähigkeit;Förderung der Kooperationsfähigkeit und des sozialen Miteinanders;5+ Jahre;Gemeinschaftsprojekte planen und durchführen, Rollenspiele mit Gruppenaufgaben, Partnerübungen.
Das Kind äußert klar eigene Bedürfnisse und Wünsche und fragt nach deren Erfüllung.;Emotionen und soziale Beziehungen;Emotionen;Bedürfniswahrnehmung;Förderung der Bedürfniswahrnehmung und des Selbstbewusstseins;4+ Jahre;Gesprächsrunden über Bedürfnisse und Wünsche, Ich-Bücher gestalten, Rollenspiele mit Bedürfnissen.
Das Kind übernimmt bereitwillig Aufgaben und Verantwortung in der Gruppe.;Emotionen und soziale Beziehungen;Soziale Beziehungen;Verantwortungsbewusstsein;Förderung des Verantwortungsbewusstseins und des sozialen Miteinanders;5+ Jahre;Aufgaben in der Gruppe übernehmen, Rollenspiele mit Verantwortungsszenen, Gesprächsrunden über Verantwortung.
