Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind sagt: „Ich mag lieber ruhig spielen, mein Bauch tut weh“;Bewegung und Gesundheit;Gesundheit;Selbstwahrnehmung;Das Kind erkennt körperliches Unwohlsein und handelt fürsorglich;4+ Jahre;Gefühlsbarometer, Bauchschmerzgeschichte, Gespräch mit Wärmekissen
Das Kind zieht sich nach wildem Spiel in die Bauecke zurück;Bewegung und Gesundheit;Gesundheit;Selbstregulation;Das Kind balanciert Aktivität und Ruhe selbstständig;5+ Jahre;Freie Raumwahl, Wechselspiel zwischen Aktiv und Ruhig, „Ich wähl mein Tempo“-Plakat
Das Kind macht bewusst langsamere Bewegungen im Tanzspiel;Bewegung und Gesundheit;Bewegung;Bewegungsgestaltung;Das Kind passt Bewegung bewusst an die eigene Belastung an;4+ Jahre;Musik mit Tempowechseln, langsame Tänze, Bewegungsstopp-Spiel
Das Kind äußert: „Ich will nicht mitmachen, ich bin noch nicht so wach“;Bewegung und Gesundheit;Gesundheit;Körpergefühl am Morgen;Das Kind lernt, seinen Start in den Tag zu gestalten;4+ Jahre;Morgenrituale mit Wahlrecht, sanfte Einstiegsspiele, Gespräch über Wachsein
Das Kind lehnt die Teilnahme an einem wilden Fangspiel ab;Bewegung und Gesundheit;Gesundheit;Selbstregulation;Das Kind erkennt, was ihm zu viel wird, und kommuniziert dies;3+ Jahre;Aktivitäten-Wahlplakat, Bewegungssmiley zeigen, ruhige Alternativen anbieten
Das Kind schlägt selbst ein ruhiges Spiel vor, nachdem es aufgeregt war;Bewegung und Gesundheit;Gesundheit;Emotionsregulation über Bewegung;Das Kind nutzt gezielt ruhige Bewegung zur Selbstberuhigung;5+ Jahre;Ruheübungen, Seifenblasenblasen, Deckenhöhlen
Das Kind entscheidet sich nach kurzem Rennen fürs Ausruhen;Bewegung und Gesundheit;Bewegung;Selbstwahrnehmung;Das Kind nimmt eigene körperliche Grenzen ernst;4+ Jahre;Ampelkarten zur Bewegung, freie Wahl bei Bewegungsangeboten, Gespräch über Signale des Körpers
Das Kind sagt: „Ich brauch eine Pause von den vielen Kindern“;Bewegung und Gesundheit;Gesundheit;Reizschutz und Selbstfürsorge;Das Kind schützt sich selbst in sozialen Reizsituationen;5+ Jahre;Rückzugsräume, stille Ecken, Gespräch über Ruhebedürfnis
Das Kind schlägt vor, nach dem Toben eine Trinkpause zu machen;Bewegung und Gesundheit;Gesundheit;Selbstfürsorge;Das Kind erkennt Belastung und sorgt für Ausgleich;4+ Jahre;Getränkestation gestalten, eigene Pause planen, „Körper-Signale“-Karten
Das Kind nimmt freiwillig an einer Entspannungsgeschichte teil;Bewegung und Gesundheit;Gesundheit;Selbstregulation;Das Kind erkennt sein Bedürfnis nach Ruhe und Entspannung;5+ Jahre;Fantasiereise-Ecke, „Ich entspann mich“-Symbole, Kinderyoga-Station
Das Kind sagt: „Ich brauch frische Luft“ und öffnet das Fenster;Bewegung und Gesundheit;Gesundheit;Eigeninitiative;Das Kind zeigt selbstwirksames Handeln für Wohlbefinden;4+ Jahre;Lüft-Ritual, Frischluftzeichen, Gespräch über Raumklima
Das Kind bemerkt: „Mein Bauch grummelt, ich hab Hunger“;Bewegung und Gesundheit;Gesundheit;Hunger-Sättigungswahrnehmung;Das Kind benennt körperliche Bedürfnisse und reagiert;3+ Jahre;Snacktisch frei zugänglich, „Mein Körper meldet sich“-Plakate, Gesprächskarten
Das Kind stoppt das Klettern und sagt: „Das ist mir zu hoch“;Bewegung und Gesundheit;Bewegung;Gefahreneinschätzung;Das Kind erkennt eigene Grenzen und schützt sich;4+ Jahre;Mut-Spiele mit Ausstiegsmöglichkeit, Gespräch über Mut und Vorsicht, Bewegungsprotokoll
Das Kind lässt eine Bewegungseinheit aus, um ruhiger zu lesen;Bewegung und Gesundheit;Gesundheit;Eigenes Tempo;Das Kind trifft Entscheidungen basierend auf aktueller Belastbarkeit;5+ Jahre;Alternativen anbieten, „Ich wähl mein Tempo“-Schild, Bewegungstagebuch
Das Kind äußert nach dem Frühstück: „Ich bin bereit für draußen“;Bewegung und Gesundheit;Gesundheit;Tagesrhythmuswahrnehmung;Das Kind spürt eigene Energie und organisiert Übergänge;4+ Jahre;Übergangsrituale, Bewegung nach Mahlzeiten, Gespräch über Wachheit
Das Kind schlägt vor, vor dem Mittagessen Hände zu waschen;Bewegung und Gesundheit;Gesundheit;Hygienebewusstsein;Das Kind übernimmt Verantwortung für sein körperliches Wohlbefinden;3+ Jahre;Waschrituale, Kindergeschichten zur Hygiene, Hygienesymbole am Waschbecken
Das Kind schaukelt sich selbstständig an und kann sich dabei gut festhalten;Bewegung und Gesundheit;Bewegung;Grobmotorik, Koordination;Förderung der Körperkontrolle und Muskelkraft;2+ Jahre;Schaukelwettbewerb, Schaukelspiele (z. B. „Wie hoch kannst du schwingen?“), gemeinsam schaukeln
Das Kind liebt es, auf Bäume zu klettern;Bewegung und Gesundheit;Bewegung;Motorische Geschicklichkeit;Förderung der Körperkontrolle und Kraft;4+ Jahre;Kletterbäume im Park besuchen, Kletterwand im Innenraum, Klettergarten-Ausflug
Das Kind macht Purzelbäume auf der Wiese;Bewegung und Gesundheit;Bewegung;Körperkoordination;Förderung der Beweglichkeit und Körperkontrolle;3+ Jahre;Turnmatten-Rollen, Purzelbaum-Wettbewerb, Hindernisparcours mit Purzelbäumen
Das Kind hüpft einbeinig über Steine;Bewegung und Gesundheit;Bewegung;Gleichgewicht und Koordination;Verbesserung der einbeinigen Balance und Körperkontrolle;3+ Jahre;Gummitwist, Hüpfspiele (Himmel und Hölle), Seilspringen
Das Kind versucht, rückwärts zu laufen;Bewegung und Gesundheit;Bewegung;Orientierung im Raum;Förderung der Körperwahrnehmung und Koordination;4+ Jahre;Fangspiele mit rückwärts Laufen, „Rückwärts-Tanz“, Spiegel-Lauf (nachmachen, was der Partner tut)
Das Kind rennt um die Wette mit anderen Kindern;Bewegung und Gesundheit;Bewegung;Ausdauer;Förderung von Schnelligkeit und Kondition;3+ Jahre;Wettrennen im Garten, Staffellauf, „Fang den Ball“
Das Kind zeigt Freude am Springen über Pfützen;Bewegung und Gesundheit;Bewegung;Sprungkraft;Förderung der Sprungkoordination und Balance;3+ Jahre;Gummistiefel-Wettspringen, Hüpfekästchen, Trampolinspringen
Das Kind zeigt Interesse am Fahrradfahren und probiert es mit Stützrädern;Bewegung und Gesundheit;Bewegung;Motorik, Koordination;Förderung von Gleichgewicht und Selbstständigkeit;4+ Jahre;Fahrradparcours, Laufrad-Parcours, Dreirad-Rennen
Das Kind bleibt beim Toben oft stehen und greift sich an die Seite;Bewegung und Gesundheit;Gesundheit;Körpergefühl;Förderung des Körperbewusstseins und Ausdauertraining;4+ Jahre;Atemübungen, Spaziergänge mit Pausen, „Wie lange kannst du durchhalten?“-Spiel
Das Kind sagt, dass es müde ist und eine Pause machen möchte;Bewegung und Gesundheit;Gesundheit;Erholung und Selbstwahrnehmung;Förderung des Verständnisses für die eigenen Bedürfnisse;3+ Jahre;Entspannungsgeschichten vorlesen, Fantasiereisen, Traumreise mit leiser Musik
Das Kind möchte seinen eigenen Rucksack tragen;Bewegung und Gesundheit;Bewegung;Kraft;Förderung der Selbstständigkeit und Muskelkraft;3+ Jahre;Einkäufe selbst tragen lassen, kleinen Wanderrucksack packen, Tragewettbewerb „Wer trägt den schwersten Gegenstand?“
Das Kind hält einen Stift sicher in der Hand und malt gerne;Bewegung und Gesundheit;Bewegung;Feinmotorik;Verbesserung der Handgeschicklichkeit und Koordination;3+ Jahre;Kneten, Perlen fädeln, mit Pipetten Wasser tropfen
Das Kind isst selbstständig mit Löffel und Gabel;Bewegung und Gesundheit;Gesundheit;Selbstständigkeit beim Essen;Förderung der motorischen Fähigkeiten und Esskultur;2+ Jahre;Picknick mit Besteck, Kochspiel mit Plastikbesteck, Tischdecken üben
Das Kind probiert neue Lebensmittel und beschreibt deren Geschmack;Bewegung und Gesundheit;Gesundheit;Ernährungsbewusstsein;Förderung der Geschmacksvielfalt und gesunder Ernährung;3+ Jahre;Blindverkostung, Marktbesuch, Obstsalat zubereiten
Das Kind liebt es, barfuß auf unterschiedlichen Untergründen zu laufen;Bewegung und Gesundheit;Bewegung;Sensorische Wahrnehmung;Förderung der Fußmuskulatur und Wahrnehmung;2+ Jahre;Barfußpfad, Rasierschaum oder Sand mit den Füßen ertasten, Barfuß-Tanz
Das Kind versucht, sich alleine die Schuhe zu binden;Bewegung und Gesundheit;Bewegung;Feinmotorik;Förderung der Handgeschicklichkeit und Selbstständigkeit;4+ Jahre;Üben mit Schuhmodellen, „Schnürsenkel-Spiel“, Reißverschluss zuziehen
Das Kind zeigt Interesse an Gymnastikübungen und turnt gerne mit;Bewegung und Gesundheit;Bewegung;Körperkoordination;Förderung von Beweglichkeit und Fitness;3+ Jahre;Kinderyoga, Gymnastik mit Reifen, Hula-Hoop-Tanz
Das Kind interessiert sich für das Waschen der Hände nach dem Spielen;Bewegung und Gesundheit;Gesundheit;Hygiene;Förderung der Hygienekompetenz und Gesundheitsbewusstsein;2+ Jahre;Hände waschen mit Seifenblasen, „Händewasch-Song“, Farben erkennen beim Händewaschen
Das Kind zeigt Unbehagen bei nassen oder klebrigen Händen;Bewegung und Gesundheit;Gesundheit;Sensorische Wahrnehmung;Förderung der Körperwahrnehmung;2+ Jahre;Hände in Sand oder Reis tauchen, Kleisterbilder malen, Seifenblasen pusten
Das Kind interessiert sich für Zahnputzrituale und zeigt Freude daran;Bewegung und Gesundheit;Gesundheit;Zahnpflege;Förderung von Zahnpflegegewohnheiten;2+ Jahre;Zahnbürsten-Tanz, „Zähne putzen, Zähne putzen“-Lied, Zahnarztspiel mit Puppen
Das Kind kann alleine die Hände waschen und abtrocknen;Bewegung und Gesundheit;Gesundheit;Selbstständigkeit in der Hygiene;Förderung von Sauberkeit und Selbstpflege;3+ Jahre;Händewaschen nach dem Händewasch-Song, Waschstation mit Seifenblasen, Fühlstation mit Seifenstücken
Das Kind nimmt aktiv am gemeinsamen Essen teil;Bewegung und Gesundheit;Gesundheit;Essverhalten;Förderung der Tischmanieren und gemeinsamen Mahlzeiten;2+ Jahre;Familienessen, Tisch decken, Tischgebet oder Essenslieder singen
Das Kind probiert neugierig neue Speisen;Bewegung und Gesundheit;Gesundheit;Neugier auf Essen;Förderung einer vielfältigen Ernährung;2+ Jahre;Essen aus verschiedenen Ländern probieren, Fühl- und Riechspiele, Obstsalat zubereiten
Das Kind zeigt Interesse am Zähneputzen und möchte es selbst versuchen;Bewegung und Gesundheit;Gesundheit;Selbstpflege;Förderung der Mundhygiene und Selbstständigkeit;2+ Jahre;Gemeinsames Zähneputzen mit Lied, Zahnbürsten-Wettlauf, Zahnputzbuch lesen
Das Kind hält sich selbstständig an der Wippe fest;Bewegung und Gesundheit;Bewegung;Körperspannung, Gleichgewicht;Förderung der Muskelkraft und motorischen Kontrolle;2+ Jahre;Schaukel- und Wippenspiel, Wippe-Wettbewerb, Balancierseil
Das Kind klettert gerne auf Bäume und spielt im Freien.;Bewegung und Gesundheit;Bewegung;Grobmotorik, Gleichgewichtssinn;Förderung der Ausdauer und der Koordination;4+ Jahre;Turneinheit: Gleichgewichtssinn mit Parkour. Balancieren auf einem Seil. Joggen im Park. Auf einem Bein stehen. Fußballspiel im Garten.
Das Kind tanzt gerne zu Musik und erfindet eigene Bewegungen.;Bewegung und Gesundheit;Bewegung;Rhythmik, Koordination;Förderung der Rhythmik und der Koordination;4+ Jahre;Tanzspiele, Bewegungslieder, Choreografien nachahmen, Tanzen mit Tüchern, Fußballspiel im Garten.
Das Kind spielt gerne Ballspiele und zeigt Geschicklichkeit.;Bewegung und Gesundheit;Bewegung;Hand-Auge-Koordination, Geschicklichkeit;Förderung der Hand-Auge-Koordination und der Geschicklichkeit;5+ Jahre;Ballspiele, Jonglieren, Zielwerfen, Fußballspiel im Garten.
Das Kind fährt gerne Fahrrad und zeigt Ausdauer.;Bewegung und Gesundheit;Bewegung;Ausdauer, Gleichgewichtssinn;Förderung der Ausdauer und des Gleichgewichtssinns;5+ Jahre;Fahrradtouren, Rollerfahren, Inlineskaten, Fußballspiel im Garten.
Das Kind interessiert sich für gesunde Ernährung und fragt nach gesunden Lebensmitteln.;Bewegung und Gesundheit;Gesundheit;Ernährungswissen;Förderung des Ernährungswissens und des Gesundheitsbewusstseins;5+ Jahre;Gemeinsames Kochen, Besuch auf dem Bauernhof, Zubereitung von gesunden Snacks, Fußballspiel im Garten.
Das Kind möchte gerne Sportarten ausprobieren und fragt nach Sportvereinen.;Bewegung und Gesundheit;Bewegung;Sportinteresse, Motivation;Förderung des Sportinteresses und der Motivation;6+ Jahre;Besuch von Sportveranstaltungen, Ausprobieren verschiedener Sportarten, Gesprächsrunden über Sport, Fußballspiel im Garten.
Das Kind bewegt sich gerne im Wasser und zeigt Freude am Schwimmen.;Bewegung und Gesundheit;Bewegung;Schwimmen, Koordination;Förderung der Schwimmfähigkeit und der Koordination;6+ Jahre;Schwimmbadbesuche, Wasserspiele, Schwimmkurse, Fußballspiel im Garten.
Das Kind interessiert sich für den eigenen Körper und fragt nach Körperfunktionen.;Bewegung und Gesundheit;Gesundheit;Körperwissen;Förderung des Körperwissens und des Gesundheitsbewusstseins;6+ Jahre;Bilderbücher über den Körper, Besuch beim Arzt, Gesprächsrunden über Körperfunktionen, Fußballspiel im Garten.
Das Kind möchte gerne Entspannungsübungen machen und fragt nach Entspannungstechniken.;Bewegung und Gesundheit;Gesundheit;Entspannung, Stressbewältigung;Förderung der Entspannung und der Stressbewältigung;6+ Jahre;Yoga, Meditation, Autogenes Training, Atemübungen, Fußballspiel im Garten.
Das Kind interessiert sich für Erste Hilfe und möchte gerne helfen.;Bewegung und Gesundheit;Gesundheit;Erste Hilfe, Hilfsbereitschaft;Förderung der Erste-Hilfe-Kenntnisse und der Hilfsbereitschaft;6+ Jahre;Erste-Hilfe-Kurse, Rollenspiele mit Erste-Hilfe-Szenarien, Gesprächsrunden über Erste Hilfe, Fußballspiel im Garten.
Das Kind möchte gerne an Sportwettkämpfen teilnehmen und zeigt Ehrgeiz.;Bewegung und Gesundheit;Bewegung;Wettbewerbsgeist, Ehrgeiz;Förderung des Wettbewerbsgeistes und des Ehrgeizes;7+ Jahre;Teilnahme an Sportwettkämpfen, Sportspiele, Gesprächsrunden über Sport, Fußballspiel im Garten.
Das Kind interessiert sich für die Wirkung von Bewegung auf den Körper und fragt nach Trainingsmethoden.;Bewegung und Gesundheit;Bewegung;Trainingswissen, Körperbewusstsein;Förderung des Trainingswissens und des Körperbewusstseins;7+ Jahre;Gesprächsrunden über Trainingsmethoden, Ausprobieren verschiedener Trainingsgeräte, Besuch im Fitnessstudio, Fußballspiel im Garten.
Das Kind möchte gerne an Sportprojekten teilnehmen und zeigt Teamgeist.;Bewegung und Gesundheit;Bewegung;Teamgeist, Kooperation;Förderung des Teamgeistes und der Kooperation;7+ Jahre;Teilnahme an Sportprojekten, Mannschaftssportarten, Gesprächsrunden über Sport, Fußballspiel im Garten.
Das Kind interessiert sich für die Bedeutung von Schlaf und fragt nach Schlafhygiene.;Bewegung und Gesundheit;Gesundheit;Schlafhygiene, Gesundheitsbewusstsein;Förderung der Schlafhygiene und des Gesundheitsbewusstseins;7+ Jahre;Gesprächsrunden über Schlafhygiene, Entspannungsübungen vor dem Schlafengehen, Gestaltung eines gemütlichen Schlafplatzes, Fußballspiel im Garten.
Das Kind möchte gerne an Gesundheitsaktionen teilnehmen und zeigt Engagement.;Bewegung und Gesundheit;Gesundheit;Engagement, Gesundheitsbewusstsein;Förderung des Engagements und des Gesundheitsbewusstseins;7+ Jahre;Teilnahme an Gesundheitsaktionen, Gestaltung von Plakaten für gesunde Ernährung, Gesprächsrunden über Gesundheit, Fußballspiel im Garten.
Das Kind übt gerne neue Bewegungsformen und zeigt Ausdauer.;Bewegung und Gesundheit;Bewegung;Lernbereitschaft, Ausdauer;Förderung der Lernbereitschaft und der Ausdauer;6+ Jahre;Ausprobieren neuer Sportarten, Üben von Bewegungsabläufen, Besuch von Sportkursen, Fußballspiel im Garten.
Das Kind interessiert sich für die Bedeutung von Hygiene und fragt nach Hygienemaßnahmen.;Bewegung und Gesundheit;Gesundheit;Hygienebewusstsein, Gesundheitsbewusstsein;Förderung des Hygienebewusstseins und des Gesundheitsbewusstseins;6+ Jahre;Gesprächsrunden über Hygiene, Händewaschen üben, Gestaltung von Plakaten für Hygiene, Fußballspiel im Garten.
Das Kind interessiert sich für die Bedeutung von Bewegung im Alltag und fragt nach Bewegungsmöglichkeiten.;Bewegung und Gesundheit;Bewegung;Alltagsbewegung, Gesundheitsbewusstsein;Förderung der Alltagsbewegung und des Gesundheitsbewusstseins;6+ Jahre;Gesprächsrunden über Bewegungsmöglichkeiten im Alltag, Bewegungspausen im Unterricht, Gestaltung von Bewegungsspielen, Fußballspiel im Garten.
Das Kind übt gerne Balancierübungen und zeigt Konzentration.;Bewegung und Gesundheit;Bewegung;Konzentration, Gleichgewichtssinn;Förderung der Konzentration und des Gleichgewichtssinns;5+ Jahre;Balancierübungen auf verschiedenen Untergründen, Seilspringen, Parcours, Fußballspiel im Garten.
Das Kind interessiert sich für die Bedeutung von gesunden Getränken und fragt nach Rezepten.;Bewegung und Gesundheit;Gesundheit;Getränkewissen, Gesundheitsbewusstsein;Förderung des Getränkewissens und des Gesundheitsbewusstseins;5+ Jahre;Zubereitung von gesunden Getränken, Gesprächsrunden über gesunde Getränke, Gestaltung von Rezepten, Fußballspiel im Garten.
Das Kind möchte gerne an Sportspielen teilnehmen und zeigt Fairness.;Bewegung und Gesundheit;Bewegung;Fairness, Teamgeist;Förderung der Fairness und des Teamgeistes;6+ Jahre;Teilnahme an Sportspielen, Gesprächsrunden über Fairness, Gestaltung von Regeln für Sportspiele, Fußballspiel im Garten.
Das Kind interessiert sich für die Bedeutung von gesunden Pausen und fragt nach Entspannungsmöglichkeiten.;Bewegung und Gesundheit;Gesundheit;Pausengestaltung, Gesundheitsbewusstsein;Förderung der Pausengestaltung und des Gesundheitsbewusstseins;6+ Jahre;Gestaltung von Pausenräumen, Entspannungsübungen in Pausen, Gesprächsrunden über Pausengestaltung, Fußballspiel im Garten.
Das Kind möchte gerne an Bewegungsprojekten teilnehmen und zeigt Initiative.;Bewegung und Gesundheit;Bewegung;Initiative, Kreativität;Förderung der Initiative und der Kreativität;6+ Jahre;Gestaltung von Bewegungsprojekten, Entwicklung von Bewegungsspielen, Gestaltung von Plakaten für Bewegung, Fußballspiel im Garten.
Das Kind übt gerne verschiedene Bewegungsabläufe und zeigt Lernfreude.;Bewegung und Gesundheit;Bewegung;Lernfreude, Ausdauer;Förderung der Lernfreude und der Ausdauer;6+ Jahre;Ausprobieren verschiedener Bewegungsabläufe, Üben von Sporttechniken, Besuch von Sportkursen
Das Kind beobachtet andere beim Trampolinspringen und wagt sich dann selbst darauf.;Bewegung und Gesundheit;Bewegung;Grobmotorik, Koordination;Förderung von Selbstvertrauen und Körperkontrolle;3+ Jahre;Trampolinspringen mit Musik, Bewegungsspiel „Hoch und Tief“, Hüpfübungen mit Luftballons
Das Kind zeigt Interesse an der Zahnpflege der Puppen und spielt Zahnarzt.;Bewegung und Gesundheit;Gesundheit;Hygiene;Förderung von Zahnpflegegewohnheiten;3+ Jahre;Rollenspiel „Zahnarztpraxis“, Zahnbürsten-Tanz, Puppenzähne putzen mit echter Zahnbürste, Bilderbuch „Zähne putzen, Zähne zeigen“
Das Kind tastet gerne verschiedene Materialien mit den Händen und Füßen.;Bewegung und Gesundheit;Gesundheit;Sensorische Wahrnehmung;Förderung der taktilen Wahrnehmung und Feinmotorik;2+ Jahre;Barfußpfad mit verschiedenen Materialien, Fühlkästen mit Naturmaterialien, Sensorikkiste mit Reis, Linsen, Sand, Tastspiel mit Tüchern
Das Kind lacht laut, wenn es von der Erzieherin sanft gekitzelt wird.;Bewegung und Gesundheit;Gesundheit;Emotionale Sicherheit;Förderung von Nähe, Geborgenheit und sozialen Beziehungen;1+ Jahre;Fingerspiel „Das ist der Daumen“, Kitzelspiele, gemeinsames Kuscheln in der Leseecke, Massage mit Bällen oder Igelbällen
Das Kind zeigt Interesse an Verkleidungen und schminkt sich selbst oder andere Kinder.;Bewegung und Gesundheit;Gesundheit;Körpergefühl, soziale Kompetenz;Förderung der Körperwahrnehmung, Rollenspiel;3+ Jahre;Schminkecke mit Spiegel, Rollenspiele (Friseur, Clown, Theaterstück), Kinderschminken mit sanften Farben
Das Kind probiert von verschiedenen Speisen und beschreibt den Geschmack.;Bewegung und Gesundheit;Gesundheit;Ernährung;Förderung der Geschmackswahrnehmung und Vielfalt;2+ Jahre;Geschmackstest (süß, sauer, salzig, bitter), Essensreise um die Welt, Marktbesuch mit Probierstationen
Das Kind isst selbstständig mit Löffel und Gabel, macht Fortschritte.;Bewegung und Gesundheit;Gesundheit;Feinmotorik, Selbstständigkeit;Förderung der Esskompetenz;2+ Jahre;Selbstbedienung am Buffet, Picknick mit Besteck, Pizza belegen und selbst essen
Das Kind interessiert sich für seinen eigenen Körper und zeigt auf Körperteile.;Bewegung und Gesundheit;Gesundheit;Körperbewusstsein;Förderung der Körperwahrnehmung;1+ Jahre;Lied „Kopf, Schulter, Knie und Fuß“, Körperpuzzle, Spiegelbetrachtung mit Fragen zu Körperteilen
Das Kind mag keine Berührung mit kaltem Wasser.;Bewegung und Gesundheit;Gesundheit;Sensorische Wahrnehmung;Unterstützung bei der Entwicklung des Körpergefühls;2+ Jahre;Warm-Kalt-Spiel mit Wasser, Hände in warmes/kühles Wasser tauchen, Wasserperlen fühlen, Sandspiel mit Wasser
Das Kind spielt mit Handpuppen und zeigt verschiedene Gefühle nach.;Bewegung und Gesundheit;Gesundheit;Emotionale Entwicklung;Förderung des Ausdrucks von Emotionen;3+ Jahre;Puppenspiel „Trauriger Teddy“, Gefühlskarten-Spiel, Malen von Gesichtsausdrücken
Das Kind zeigt Spaß am Balancieren auf Baumstämmen und Klettergeräten.;Bewegung und Gesundheit;Bewegung;Gleichgewichtssinn;Förderung der Körperkoordination und des Selbstvertrauens;3+ Jahre;Slackline, Seil-Balancieren, Kletterparcours, Seilspringen
Das Kind läuft schnell, wird aber schnell müde und hält sich den Bauch.;Bewegung und Gesundheit;Gesundheit;Körpergefühl, Ausdauer;Unterstützung der Ausdauer und Körperwahrnehmung;4+ Jahre;Kurze Laufstrecken mit Pausen, Bewegungsspiele mit Tempo-Wechseln, Yoga- und Atemübungen für bessere Kondition
Das Kind zeigt Interesse an gesunder Ernährung und fragt nach Obst und Gemüse.;Bewegung und Gesundheit;Gesundheit;Ernährung;Förderung von Esskompetenz;3+ Jahre;Obstsalat zubereiten, Marktbesuch, gemeinsames Kochen mit frischen Zutaten
Das Kind zeigt Freude an körperlicher Nähe mit anderen Kindern beim Spiel.;Bewegung und Gesundheit;Gesundheit;Soziale Beziehungen;Förderung des Wohlbefindens durch Körperkontakt;2+ Jahre;Kreisspiele mit Berührungen (z. B. „Armer schwarzer Kater“), Massage-Rituale, Kuschelzeit mit Kuscheltieren
